Algorithm, Epsilon, #A, #B, infile A, infile B, LocalJoin Alg, Fanout, Partitions, gridSize, Compared #, Compared %, Duplicates, Results, Selectivity, filtered A, filtered B,t loading, t init, t build, t probe, t comparing, t partition, t join, t total, t deDuplicating, t analyzing, t sorting,EmptyCells(%), MaxObj, AveObj, StdObj, repA, repB
cTOUCH,85,7000,7000,../data/RandomData-10K.bin,../data/RandomData-Normal-500-250-10K.bin,SGrid,2,4,100,6620989,13.5122,0,183,0.000373469,0,190,0.015,0,0.12,0.058,0.058,0.037,8.88,1.33,0.003,0,0.032,65.566,3534,65.1415,350.919,31955,31955
dTOUCH,85,7000,7000,../data/RandomData-10K.bin,../data/RandomData-Normal-500-250-10K.bin,SGrid,2,4,100,23475455,47.9091,0,183,0.000373469,0,189,0.013,0,0.001,12.494,11.378,0.033,11.378,25.094,0.002,0.001,0.031,94.2584,6981,33.6699,481.714,13,13
reTOUCH,85,7000,7000,../data/RandomData-10K.bin,../data/RandomData-Normal-500-250-10K.bin,SGrid,2,4,100,22025644,44.9503,0,183,0.000373469,0,190,0.014,0,0.003,0.04,0.04,0.007,20.329,4.91,0.002,0,0.005,184.906,2766,130.283,481.38,7788,7788
TOUCH,85,8000,8000,../data/RandomData-10K.bin,../data/RandomData-Normal-500-250-10K.bin,SGrid,2,4,100,36268592,56.6697,0,233,0.000364063,224,0,0.016,0,0.002,20.756,19.455,0.018,19.455,41.585,0.004,0,0.017,84.1667,5900,64.8,544.412,20,20
cTOUCH,85,8000,8000,../data/RandomData-10K.bin,../data/RandomData-Normal-500-250-10K.bin,SGrid,2,4,100,12711757,19.8621,0,233,0.000364063,0,223,0.015,0,0.271,0.064,0.064,0.042,20.521,1.872,0,0,0.037,73.029,6916,65.4647,578.418,30476,30476
dTOUCH,85,8000,8000,../data/RandomData-10K.bin,../data/RandomData-Normal-500-250-10K.bin,SGrid,2,4,100,30600953,47.814,0,233,0.000364063,0,224,0.012,0,0.002,16.697,15.419,0.04,15.419,33.512,0.004,0,0.038,95.339,8000,34.2542,519.636,12,12
reTOUCH,85,8000,8000,../data/RandomData-10K.bin,../data/RandomData-Normal-500-250-10K.bin,SGrid,2,4,100,36650617,57.2666,0,233,0.000364063,0,225,0.016,0,0.005,0.048,0.048,0.008,15.758,5.699,0,0,0.007,186.667,3370,131.458,507.222,9255,9255
TOUCH,85,9000,9000,../data/RandomData-10K.bin,../data/RandomData-Normal-500-250-10K.bin,SGrid,2,4,100,46116891,56.9344,0,303,0.000374074,255,0,0.015,0,0.001,25.013,23.539,0.025,23.539,50.108,0.004,0,0.023,92.7007,6264,63.8321,560.43,11,11
cTOUCH,85,9000,9000,../data/RandomData-10K.bin,../data/RandomData-Normal-500-250-10K.bin,SGrid,2,4,100,10380828,12.8158,0,303,0.000374074,0,255,0.017,0,0.267,0.079,0.079,0.051,25.571,1.991,0.008,0.001,0.046,82.2878,11231,65.4797,696.754,32434,32434
dTOUCH,85,9000,9000,../data/RandomData-10K.bin,../data/RandomData-Normal-500-250-10K.bin,SGrid,2,4,100,38761852,47.8541,0,303,0.000374074,0,255,0.019,0,0.003,20.915,19.53,0.049,19.53,41.992,0.004,0,0.046,98.1618,6564,33.1397,423.23,6,6
reTOUCH,85,9000,9000,../data/RandomData-10K.bin,../data/RandomData-Normal-500-250-10K.bin,SGrid,2,4,100,65216498,80.5142,0,303,0.000374074,0,257,0.016,0,0.004,0.059,0.059,0.009,41.397,6.105,0.003,0,0.007,186.861,3972,129.511,528.535,11312,11312
TOUCH,85,10000,10000,../data/RandomData-10K.bin,../data/RandomData-Normal-500-250-10K.bin,SGrid,2,4,100,56815735,56.8157,0,372,0.000372,287,0,0.018,0,0.001,29.939,28.326,0.025,28.326,59.968,0.004,0,0.023,90.8497,4511,63.4837,463.866,15,15
cTOUCH,85,10000,10000,../data/RandomData-10K.bin,../data/RandomData-Normal-500-250-10K.bin,SGrid,2,4,100,32100861,32.1009,0,372,0.000372,0,286,0.015,0,0.257,0.094,0.094,0.057,35.688,1.944,0.003,0,0.052,77.4834,13321,65.2781,776.725,42179,42179
dTOUCH,85,10000,10000,../data/RandomData-10K.bin,../data/RandomData-Normal-500-250-10K.bin,SGrid,2,4,100,47771204,47.7712,0,372,0.000372,0,287,0.017,0,0.002,25.094,23.523,0.05,23.523,50.341,0.004,0,0.047,97.6744,6043,33.2691,415.012,8,8
reTOUCH,85,10000,10000,../data/RandomData-10K.bin,../data/RandomData-Normal-500-250-10K.bin,SGrid,2,4,100,97688789,97.6888,0,372,0.000372,0,288,0.019,0,0.004,0.074,0.074,0.01,76.584,6.732,0.006,0,0.008,187.582,4362,128.837,539.591,13366,13366
TOUCH,95,1000,1000,../data/RandomData-10K.bin,../data/RandomData-Normal-500-250-10K.bin,SGrid,2,4,100,963991,96.3991,0,5,0.0005,34,0,0.002,0,0.001,0.903,0.691,0.005,0.691,1.825,0,0,0.005,41.1765,524,56.8235,129.341,11,11
cTOUCH,95,1000,1000,../data/RandomData-10K.bin,../data/RandomData-Normal-500-250-10K.bin,SGrid,2,4,100,91782,9.1782,0,5,0.0005,0,34,0.002,0,0.003,0.003,0.003,0.007,0.165,0.404,0,0,0.006,61.2903,1051,63.4194,209.46,2730,2730
dTOUCH,95,1000,1000,../data/RandomData-10K.bin,../data/RandomData-Normal-500-250-10K.bin,SGrid,2,4,100,839136,83.9136,0,5,0.0005,0,34,0.001,0,0,0.837,0.565,0.005,0.565,1.69,0,0,0.003,41.3793,905,41.8621,164.526,18,18
reTOUCH,95,1000,1000,../data/RandomData-10K.bin,../data/RandomData-Normal-500-250-10K.bin,SGrid,2,4,100,139450,13.945,0,5,0.0005,0,34,0.002,0,0.001,0.003,0.003,0.001,0.001,0.885,0,0,0.001,111.765,469,115.647,132.306,1220,1220
TOUCH,95,2000,2000,../data/RandomData-10K.bin,../data/RandomData-Normal-500-250-10K.bin,SGrid,2,4,100,3966497,99.1624,0,20,0.0005,59,0,0.006,0,0.001,2.761,2.275,0.008,2.274,5.553,0,0,0.008,83.871,1602,62.6129,286.524,6,6
cTOUCH,95,2000,2000,../data/RandomData-10K.bin,../data/RandomData-Normal-500-250-10K.bin,SGrid,2,4,100,129542,3.23855,0,20,0.0005,0,59,0.003,0,0.005,0.009,0.009,0.015,0.487,0.586,0,0,0.013,58.0645,1091,63.5645,198.058,5476,5476
dTOUCH,95,2000,2000,../data/RandomData-10K.bin,../data/RandomData-Normal-500-250-10K.bin,SGrid,2,4,100,3315953,82.8988,0,20,0.0005,0,59,0.003,0,0.001,2.53,2.049,0.011,2.049,5.096,0,0,0.01,88.7097,1967,32.629,247.7,8,8
reTOUCH,95,2000,2000,../data/RandomData-10K.bin,../data/RandomData-Normal-500-250-10K.bin,SGrid,2,4,100,645614,16.1404,0,20,0.0005,0,59,0.007,0,0.002,0.007,0.007,0.004,1.08,1.861,0.002,0,0.003,154.839,898,127.129,251.363,1926,1926
TOUCH,95,3000,3000,../data/RandomData-10K.bin,../data/RandomData-Normal-500-250-10K.bin,SGrid,2,4,100,9007360,100.082,0,44,0.000488889,81,0,0.008,0,0,6.178,5.543,0.009,5.543,12.392,0,0,0.008,72.3404,1599,62.1064,253.656,14,14
cTOUCH,95,3000,3000,../data/RandomData-10K.bin,../data/RandomData-Normal-500-250-10K.bin,SGrid,2,4,100,873963,9.7107,0,44,0.000488889,0,81,0.008,0,0.017,0.018,0.018,0.018,1.069,0.824,0,0,0.016,70.3297,3832,65.044,405.554,8976,8976
dTOUCH,95,3000,3000,../data/RandomData-10K.bin,../data/RandomData-Normal-500-250-10K.bin,SGrid,2,4,100,7575798,84.1755,0,44,0.000488889,0,81,0.007,0,0,4.816,4.139,0.016,4.138,9.682,0,0,0.014,86.9565,2422,34.0761,256.645,13,13
reTOUCH,95,3000,3000,../data/RandomData-10K.bin,../data/RandomData-Normal-500-250-10K.bin,SGrid,2,4,100,4112162,45.6907,0,44,0.000488889,0,81,0.007,0,0.002,0.013,0.013,0.004,4.307,2.699,0,0,0.003,163.83,1471,125.936,292.997,3976,3976
TOUCH,95,4000,4000,../data/RandomData-10K.bin,../data/RandomData-Normal-500-250-10K.bin,SGrid,2,4,100,16028197,100.176,0,73,0.00045625,106,0,0.01,0,0.001,9.436,8.527,0.009,8.527,18.914,0.002,0,0.009,77.4194,2323,62.8065,333.485,15,15
cTOUCH,95,4000,4000,../data/RandomData-10K.bin,../data/RandomData-Normal-500-250-10K.bin,SGrid,2,4,100,1942898,12.1431,0,73,0.00045625,0,106,0.011,0,0.047,0.031,0.031,0.026,1.831,0.985,0.002,0,0.024,54.1667,3809,65.7833,361.952,16742,16742
dTOUCH,95,4000,4000,../data/RandomData-10K.bin,../data/RandomData-Normal-500-250-10K.bin,SGrid,2,4,100,13357797,83.4862,0,73,0.00045625,0,106,0.01,0,0.001,7.907,7.073,0.022,7.073,15.888,0,0,0.021,90.1639,2309,33.5082,256.972,13,13
reTOUCH,95,4000,4000,../data/RandomData-10K.bin,../data/RandomData-Normal-500-250-10K.bin,SGrid,2,4,100,13569049,84.8066,0,73,0.00045625,0,108,0.009,0,0.002,0.022,0.022,0.004,10.508,3.523,0.002,0,0.003,167.742,1852,127.29,322.648,6851,6851
TOUCH,95,5000,5000,../data/RandomData-10K.bin,../data/RandomData-Normal-500-250-10K.bin,SGrid,2,4,100,24968043,99.8722,0,101,0.000404,135,0,0.009,0,0.001,14.291,13.176,0.011,13.176,28.624,0.002,0,0.01,82.8947,4353,64.0132,496.965,14,14
cTOUCH,95,5000,5000,../data/RandomData-10K.bin,../data/RandomData-Normal-500-250-10K.bin,SGrid,2,4,100,6211043,24.8442,0,101,0.000404,0,133,0.012,0,0.029,0.035,0.035,0.03,6.79,1.185,0.003,0,0.027,71.8954,5150,64.4902,495.343,16370,16370
dTOUCH,95,5000,5000,../data/RandomData-10K.bin,../data/RandomData-Normal-500-250-10K.bin,SGrid,2,4,100,20715961,82.8638,0,101,0.000404,0,135,0.011,0,0.002,11.472,10.427,0.023,10.427,23.024,0.002,0,0.022,94.0397,5000,33.2318,405.535,10,10
reTOUCH,95,5000,5000,../data/RandomData-10K.bin,../data/RandomData-Normal-500-250-10K.bin,SGrid,2,4,100,7356115,29.4245,0,101,0.000404,0,136,0.009,0,0.003,0.031,0.031,0.008,8.124,4.487,0,0,0.006,181.579,1989,129.789,426.659,4716,4716
TOUCH,95,6000,6000,../data/RandomData-10K.bin,../data/RandomData-Normal-500-250-10K.bin,SGrid,2,4,100,35969519,99.9153,0,147,0.000408333,151,0,0.012,0,0.001,20.488,19.127,0.014,19.127,41.033,0.002,0,0.014,81.3187,4216,64.2747,451.474,18,18
cTOUCH,95,6000,6000,../data/RandomData-10K.bin,../data/RandomData-Normal-500-250-10K.bin,SGrid,2,4,100,3367425,9.35396,0,147,0.000408333,0,151,0.01,0,0.085,0.049,0.047,0.033,3.845,1.314,0.002,0,0.029,68.6813,3227,65.1044,360.717,22942,22942
dTOUCH,95,6000,6000,../data/RandomData-10K.bin,../data/RandomData-Normal-500-250-10K.bin,SGrid,2,4,100,29724665,82.5685,0,147,0.000408333,0,151,0.01,0,0.001,16.33,15.123,0.031,15.123,32.755,0.002,0,0.029,93.9227,6000,33.3978,444.726,12,12
reTOUCH,95,6000,6000,../data/RandomData-10K.bin,../data/RandomData-Normal-500-250-10K.bin,SGrid,2,4,100,12912764,35.8688,0,147,0.000408333,0,151,0.013,0,0.002,0.037,0.037,0.006,11.908,5.799,0,0,0.004,183.516,2486,130.209,463.942,5948,5948
TOUCH,95,7000,7000,../data/RandomData-10K.bin,../data/RandomData-Normal-500-250-10K.bin,SGrid,2,4,100,48838916,99.6713,0,211,0.000430612,167,0,0.014,0,0.001,26.484,24.981,0.018,24.981,53.037,0.004,0,0.017,83.0189,5805,64.4623,563.449,19,19
cTOUCH,95,7000,7000,../data/RandomData-10K.bin,../data/RandomData-Normal-500-250-10K.bin,SGrid,2,4,100,8487462,17.3214,0,211,0.000430612,0,164,0.013,0,0.132,0.075,0.075,0.042,10.34,1.714,0,0,0.037,65.566,3517,65.2642,352.945,34399,34399
dTOUCH,95,7000,7000,../data/RandomData-10K.bin,../data/RandomData-Normal-500-250-10K.bin,SGrid,2,4,100,40404196,82.4575,0,211,0.000430612,0,167,0.012,0,0.001,22.401,20.975,0.037,20.975,44.915,0.004,0,0.035,95.2381,6995,33.4571,481.541,11,11
reTOUCH,95,7000,7000,../data/RandomData-10K.bin,../data/RandomData-Normal-500-250-10K.bin,SGrid,2,4,100,19756743,40.3199,0,211,0.000430612,0,163,0.015,0,0.003,0.053,0.053,0.007,16.276,6.617,0,0,0.006,183.962,3099,130.538,463.027,8141,8141
TOUCH,95,8000,8000,../data/RandomData-10K.bin,../data/RandomData-Normal-500-250-10K.bin,SGrid,2,4,100,63780953,99.6577,0,267,0.000417188,199,0,0.014,0,0.001,35.055,33.321,0.02,33.321,70.181,0.006,0,0.019,87.5,6084,65.0083,559.727,16,16
cTOUCH,95,8000,8000,../data/RandomData-10K.bin,../data/RandomData-Normal-500-250-10K.bin,SGrid,2,4,100,16062844,25.0982,0,267,0.000417188,0,196,0.013,0,0.28,0.084,0.084,0.052,22.487,2.296,0.005,0,0.047,72.6141,6999,65.5768,588.369,31904,31904
dTOUCH,95,8000,8000,../data/RandomData-10K.bin,../data/RandomData-Normal-500-250-10K.bin,SGrid,2,4,100,52788114,82.4814,0,267,0.000417188,0,199,0.013,0,0.001,28.328,26.738,0.04,26.738,56.777,0.004,0,0.037,97.0464,8000,34.0253,518.546,8,8
reTOUCH,95,8000,8000,../data/RandomData-10K.bin,../data/RandomData-Normal-500-250-10K.bin,SGrid,2,4,100,61832447,96.6132,0,267,0.000417188,0,195,0.015,0,0.004,0.063,0.062,0.007,39.843,7.781,0,0,0.006,184.167,3784,131.708,528.455,10254,10254
TOUCH,95,9000,9000,../data/RandomData-10K.bin,../data/RandomData-Normal-500-250-10K.bin,SGrid,2,4,100,81064993,100.08,0,352,0.000434568,224,0,0.013,0,0.001,43.881,41.875,0.025,41.874,87.842,0.006,0,0.024,93.4307,6195,64.0584,558.787,10,10
cTOUCH,95,9000,9000,../data/RandomData-10K.bin,../data/RandomData-Normal-500-250-10K.bin,SGrid,2,4,100,13769431,16.9993,0,352,0.000434568,0,222,0.016,0,0.273,0.098,0.098,0.056,22.005,2.382,0.005,0,0.051,81.1808,11445,65.6015,709.156,34776,34776
dTOUCH,95,9000,9000,../data/RandomData-10K.bin,../data/RandomData-Normal-500-250-10K.bin,SGrid,2,4,100,66919021,82.6161,0,352,0.000434568,0,224,0.014,0,0.002,37.724,35.856,0.057,35.856,75.608,0.006,0,0.055,98.5294,6452,33.1287,419.305,5,5
reTOUCH,95,9000,9000,../data/RandomData-10K.bin,../data/RandomData-Normal-500-250-10K.bin,SGrid,2,4,100,108355376,133.772,0,352,0.000434568,0,222,0.011,0,0.004,0.079,0.079,0.01,71.452,8.366,0.001,0,0.008,186.131,4419,129.766,544.744,12423,12423
TOUCH,95,10000,10000,../data/RandomData-10K.bin,../data/RandomData-Normal-500-250-10K.bin,SGrid,2,4,100,99860278,99.8603,0,426,0.000426,253,0,0.017,0,0.001,53.13,50.937,0.028,50.937,106.354,0.01,0,0.025,92.1569,4506,63.7059,470.635,13,13
cTOUCH,95,10000,10000,../data/RandomData-10K.bin,../data/RandomData-Normal-500-250-10K.bin,SGrid,2,4,100,41436326,41.4363,0,426,0.000426,0,251,0.016,0,0.254,0.116,0.116,0.062,45.767,2.298,0.009,0.001,0.056,78.4768,13404,65.394,783.335,44063,44063
dTOUCH,95,10000,10000,../data/RandomData-10K.bin,../data/RandomData-Normal-500-250-10K.bin,SGrid,2,4,100,82665110,82.6651,0,426,0.000426,0,253,0.015,0,0.002,43.8,41.795,0.052,41.795,87.752,0.007,0,0.048,98.3444,5885,33.1523,411.887,6,6
reTOUCH,95,10000,10000,../data/RandomData-10K.bin,../data/RandomData-Normal-500-250-10K.bin,SGrid,2,4,100,167897523,167.898,0,426,0.000426,0,251,0.017,0,0.004,0.095,0.095,0.012,104.974,9.583,0,0,0.01,186.275,4884,129.078,562.108,14852,14852
TOUCH,105,1000,1000,../data/RandomData-10K.bin,../data/RandomData-Normal-500-250-10K.bin,SGrid,2,4,100,1591440,159.144,0,6,0.0006,31,0,0.001,0,0.001,1.421,1.106,0.002,1.106,2.852,0,0,0.002,41.1765,537,57,133.425,11,11
cTOUCH,105,1000,1000,../data/RandomData-10K.bin,../data/RandomData-Normal-500-250-10K.bin,SGrid,2,4,100,121701,12.1701,0,6,0.0006,0,31,0.003,0,0.003,0.004,0.004,0.009,0.524,0.586,0,0,0.008,58.0645,1071,63.5161,211.855,2859,2859
dTOUCH,105,1000,1000,../data/RandomData-10K.bin,../data/RandomData-Normal-500-250-10K.bin,SGrid,2,4,100,1375452,137.545,0,6,0.0006,0,31,0.001,0,0,1.294,0.943,0.004,0.943,2.602,0,0,0.004,44.8276,940,41,170.862,17,17
reTOUCH,105,1000,1000,../data/RandomData-10K.bin,../data/RandomData-Normal-500-250-10K.bin,SGrid,2,4,100,217466,21.7466,0,6,0.0006,0,31,0.002,0,0.001,0.003,0.003,0.001,0.201,1.252,0,0,0.001,117.647,514,115.824,139.765,1345,1345
TOUCH,105,2000,2000,../data/RandomData-10K.bin,../data/RandomData-Normal-500-250-10K.bin,SGrid,2,4,100,6674754,166.869,0,22,0.00055,52,0,0.003,0,0,4.573,3.884,0.009,3.884,9.174,0,0,0.008,83.871,1629,62.8387,290.795,6,6
cTOUCH,105,2000,2000,../data/RandomData-10K.bin,../data/RandomData-Normal-500-250-10K.bin,SGrid,2,4,100,197954,4.94885,0,22,0.00055,0,52,0.004,0,0.005,0.011,0.011,0.015,1.146,0.742,0,0,0.014,59.6774,1084,63.6774,198.602,6075,6075
dTOUCH,105,2000,2000,../data/RandomData-10K.bin,../data/RandomData-Normal-500-250-10K.bin,SGrid,2,4,100,5457780,136.445,0,22,0.00055,0,52,0.002,0,0,3.719,3.118,0.013,3.118,7.478,0,0,0.011,93.5484,2000,32.5645,251.91,5,5
reTOUCH,105,2000,2000,../data/RandomData-10K.bin,../data/RandomData-Normal-500-250-10K.bin,SGrid,2,4,100,993122,24.8281,0,22,0.00055,0,52,0.005,0,0.002,0.008,0.008,0.004,1.336,2.644,0,0,0.003,158.065,899,127.355,255.173,1989,1989
TOUCH,105,3000,3000,../data/RandomData-10K.bin,../data/RandomData-Normal-500-250-10K.bin,SGrid,2,4,100,15132447,168.138,0,48,0.000533333,73,0,0.007,0,0.001,9.681,8.785,0.013,8.785,19.406,0,0,0.012,74.4681,1626,62.2766,259.709,13,13
cTOUCH,105,3000,3000,../data/RandomData-10K.bin,../data/RandomData-Normal-500-250-10K.bin,SGrid,2,4,100,1235435,13.7271,0,48,0.000533333,0,73,0.003,0,0.017,0.021,0.021,0.021,0.568,1.082,0.001,0,0.019,71.4286,3949,65.1319,417.408,9197,9197
dTOUCH,105,3000,3000,../data/RandomData-10K.bin,../data/RandomData-Normal-500-250-10K.bin,SGrid,2,4,100,12425622,138.062,0,48,0.000533333,0,73,0.006,0,0.001,8.26,7.407,0.017,7.407,16.574,0,0,0.016,88.172,2075,33.4516,232.538,12,12
reTOUCH,105,3000,3000,../data/RandomData-10K.bin,../data/RandomData-Normal-500-250-10K.bin,SGrid,2,4,100,6408176,71.202,0,48,0.000533333,0,73,0.004,0,0.002,0.016,0.016,0.004,5.198,3.8,0,0,0.003,170.213,1617,126.106,307.079,4148,4148
TOUCH,105,4000,4000,../data/RandomData-10K.bin,../data/RandomData-Normal-500-250-10K.bin,SGrid,2,4,100,26871473,167.947,0,82,0.0005125,95,0,0.007,0,0.001,16.744,15.512,0.009,15.512,33.525,0.002,0,0.008,77.4194,2396,62.9839,339.415,15,15
cTOUCH,105,4000,4000,../data/RandomData-10K.bin,../data/RandomData-Normal-500-250-10K.bin,SGrid,2,4,100,2553226,15.9577,0,82,0.0005125,0,95,0.008,0,0.046,0.032,0.032,0.023,2.382,1.239,0.003,0,0.021,57.5,3954,65.875,375.661,17397,17397
dTOUCH,105,4000,4000,../data/RandomData-10K.bin,../data/RandomData-Normal-500-250-10K.bin,SGrid,2,4,100,21794213,136.214,0,82,0.0005125,0,95,0.011,0,0.001,12.982,11.893,0.015,11.893,26.028,0,0,0.015,90.1639,2354,33.418,257.934,13,13
reTOUCH,105,4000,4000,../data/RandomData-10K.bin,../data/RandomData-Normal-500-250-10K.bin,SGrid,2,4,100,21258990,132.869,0,82,0.0005125,0,95,0.004,0,0.003,0.025,0.025,0.003,13.485,4.759,0.004,0,0.002,170.968,2041,127.5,342.261,7180,7180
TOUCH,105,5000,5000,../data/RandomData-10K.bin,../data/RandomData-Normal-500-250-10K.bin,SGrid,2,4,100,41895857,167.583,0,121,0.000484,118,0,0.011,0,0.001,24.425,22.963,0.015,22.963,48.909,0.002,0,0.014,84.2105,4401,64.2368,502.388,13,13
cTOUCH,105,5000,5000,../data/RandomData-10K.bin,../data/RandomData-Normal-500-250-10K.bin,SGrid,2,4,100,8571500,34.286,0,121,0.000484,0,118,0.01,0,0.029,0.044,0.044,0.034,9.131,1.532,0,0,0.03,74.5098,5328,64.5882,503.55,16250,16250
dTOUCH,105,5000,5000,../data/RandomData-10K.bin,../data/RandomData-Normal-500-250-10K.bin,SGrid,2,4,100,33929315,135.717,0,121,0.000484,0,118,0.008,0,0.001,19.539,18.253,0.024,18.253,39.152,0.002,0,0.022,94.702,5000,33.2053,405.537,9,9
reTOUCH,105,5000,5000,../data/RandomData-10K.bin,../data/RandomData-Normal-500-250-10K.bin,SGrid,2,4,100,11468167,45.8727,0,121,0.000484,0,118,0.007,0,0.003,0.033,0.033,0.006,8.858,6.136,0,0,0.005,182.895,2299,130.026,448.008,4773,4773
TOUCH,105,6000,6000,../data/RandomData-10K.bin,../data/RandomData-Normal-500-250-10K.bin,SGrid,2,4,100,60162628,167.118,0,178,0.000494444,134,0,0.009,0,0.001,34.141,32.401,0.015,32.401,68.34,0.006,0,0.014,84.6154,4331,64.4615,461.918,15,15
cTOUCH,105,6000,6000,../data/RandomData-10K.bin,../data/RandomData-Normal-500-250-10K.bin,SGrid,2,4,100,4904312,13.6231,0,178,0.000494444,0,134,0.011,0,0.091,0.06,0.059,0.035,4.727,1.662,0.001,0.001,0.031,68.6813,3232,65.1978,364.101,25555,25555
dTOUCH,105,6000,6000,../data/RandomData-10K.bin,../data/RandomData-Normal-500-250-10K.bin,SGrid,2,4,100,48861437,135.726,0,178,0.000494444,0,134,0.013,0,0.001,26.935,25.373,0.028,25.373,53.965,0.004,0,0.027,95.5801,6000,33.2983,444.733,9,9
reTOUCH,105,6000,6000,../data/RandomData-10K.bin,../data/RandomData-Normal-500-250-10K.bin,SGrid,2,4,100,26647412,74.0206,0,178,0.000494444,0,134,0.009,0,0.003,0.051,0.051,0.01,20.632,7.454,0.001,0,0.008,185.714,2697,130.396,480.407,6224,6224
TOUCH,105,7000,7000,../data/RandomData-10K.bin,../data/RandomData-Normal-500-250-10K.bin,SGrid,2,4,100,81717382,166.77,0,250,0.000510204,145,0,0.014,0,0.001,45.125,43.187,0.018,43.187,90.319,0.006,0,0.017,84.9057,5915,64.6698,573.829,17,17
cTOUCH,105,7000,7000,../data/RandomData-10K.bin,../data/RandomData-Normal-500-250-10K.bin,SGrid,2,4,100,11769229,24.0188,0,250,0.000510204,0,145,0.014,0,0.143,0.089,0.089,0.045,15.783,2.206,0,0,0.041,66.9811,3496,65.3538,360.723,37630,37630
dTOUCH,105,7000,7000,../data/RandomData-10K.bin,../data/RandomData-Normal-500-250-10K.bin,SGrid,2,4,100,66325624,135.358,0,250,0.000510204,0,145,0.015,0,0.001,36.487,34.664,0.038,34.664,73.094,0.006,0,0.036,96.6667,7000,33.419,481.889,8,8
reTOUCH,105,7000,7000,../data/RandomData-10K.bin,../data/RandomData-Normal-500-250-10K.bin,SGrid,2,4,100,58358307,119.099,0,250,0.000510204,0,145,0.019,0,0.003,0.06,0.059,0.006,39.848,8.68,0.001,0,0.005,186.792,3413,130.708,514.947,8846,8846
TOUCH,105,8000,8000,../data/RandomData-10K.bin,../data/RandomData-Normal-500-250-10K.bin,SGrid,2,4,100,106883416,167.005,0,312,0.0004875,173,0,0.011,0,0.001,58.105,55.931,0.021,55.931,116.281,0.006,0,0.02,89.1667,6268,65.225,575.24,14,14
cTOUCH,105,8000,8000,../data/RandomData-10K.bin,../data/RandomData-Normal-500-250-10K.bin,SGrid,2,4,100,20659313,32.2802,0,312,0.0004875,0,173,0.008,0,0.276,0.093,0.093,0.051,26.623,2.57,0.003,0,0.046,75.1037,7076,65.6722,598.444,34171,34171
dTOUCH,105,8000,8000,../data/RandomData-10K.bin,../data/RandomData-Normal-500-250-10K.bin,SGrid,2,4,100,86782525,135.598,0,312,0.0004875,0,173,0.015,0,0.003,45.834,43.887,0.041,43.887,91.803,0.006,0,0.037,97.0464,8000,33.9367,518.549,8,8
reTOUCH,105,8000,8000,../data/RandomData-10K.bin,../data/RandomData-Normal-500-250-10K.bin,SGrid,2,4,100,97414090,152.21,0,312,0.0004875,0,174,0.008,0,0.004,0.074,0.074,0.01,52.951,9.62,0.001,0,0.009,188.333,4169,131.883,558.806,10706,10706
TOUCH,105,9000,9000,../data/RandomData-10K.bin,../data/RandomData-Normal-500-250-10K.bin,SGrid,2,4,100,135774451,167.623,0,408,0.000503704,199,0,0.01,0,0.001,68.158,65.77,0.025,65.77,136.391,0.012,0,0.023,93.4307,6113,64.2409,556.582,10,10
cTOUCH,105,9000,9000,../data/RandomData-10K.bin,../data/RandomData-Normal-500-250-10K.bin,SGrid,2,4,100,20693121,25.5471,0,408,0.000503704,0,199,0.015,0,0.257,0.108,0.108,0.052,29.399,2.639,0,0,0.047,83.3948,11670,65.6863,722.11,36461,36461
dTOUCH,105,9000,9000,../data/RandomData-10K.bin,../data/RandomData-Normal-500-250-10K.bin,SGrid,2,4,100,109878751,135.653,0,408,0.000503704,0,199,0.014,0,0.002,54.659,52.532,0.043,52.532,109.453,0.008,0,0.041,98.5294,6331,33.1287,415.272,5,5
reTOUCH,105,9000,9000,../data/RandomData-10K.bin,../data/RandomData-Normal-500-250-10K.bin,SGrid,2,4,100,171856716,212.169,0,408,0.000503704,0,200,0.015,0,0.004,0.092,0.092,0.009,105.015,10,0.001,0,0.007,188.321,4862,129.927,567.648,13047,13047
TOUCH,105,10000,10000,../data/RandomData-10K.bin,../data/RandomData-Normal-500-250-10K.bin,SGrid,2,4,100,167294201,167.294,0,498,0.000498,226,0,0.018,0,0.001,82.748,80.201,0.024,80.201,165.585,0.016,0,0.022,92.1569,4501,63.8824,478.316,13,13
cTOUCH,105,10000,10000,../data/RandomData-10K.bin,../data/RandomData-Normal-500-250-10K.bin,SGrid,2,4,100,55330697,55.3307,0,498,0.000498,0,226,0.019,0,0.235,0.124,0.124,0.056,48.776,2.469,0.003,0.001,0.05,81.457,13786,65.4768,803.581,44835,44835
dTOUCH,105,10000,10000,../data/RandomData-10K.bin,../data/RandomData-Normal-500-250-10K.bin,SGrid,2,4,100,135423697,135.424,0,498,0.000498,0,226,0.021,0,0.002,67.695,65.355,0.05,65.355,135.557,0.01,0.001,0.045,98.3444,6487,33.1358,423.212,6,6
reTOUCH,105,10000,10000,../data/RandomData-10K.bin,../data/RandomData-Normal-500-250-10K.bin,SGrid,2,4,100,270469021,270.469,0,498,0.000498,0,227,0.016,0,0.005,0.115,0.115,0.01,193.979,11.119,0.001,0,0.008,188.235,5419,129.235,588.97,16528,16528
