Algorithm, Epsilon, #A, #B, infile A, infile B, LocalJoin Alg, Fanout, Leaf size, gridSize, Compared #, Compared %, ComparedMax, Duplicates, Results, Selectivity, filtered A, filtered B,t loading, t init, t build, t probe, t comparing, t partition, t total, t deDuplicating, t analyzing, t sorting, t gridCalculate, t sizeCalculate,EmptyCells(%), MaxObj, AveObj, StdObj, repA, repB, max level, gridP robe, tree height A, tree height B,l0 assigned, l1 assigned, l2 assigned, l3 assigned, l4 assigned, l5 assigned, l6 assigned, l7 assigned, l8 assigned, l9 assigned,l0 assigned B, l1 assigned B, l2 assigned B, l3 assigned B, l4 assigned B, l5 assigned B, l6 assigned B, l7 assigned B, l8 assigned B, l9 assigned B,l0 avg, l1 avg, l2 avg, l3 avg, l4 avg, l5 avg, l6 avg, l7 avg, l8 avg, l9 avg,l0 avg B, l1 avg B, l2 avg B, l3 avg B, l4 avg B, l5 avg B, l6 avg B, l7 avg B, l8 avg B, l9 avg B,l0 std, l1 std, l2 std, l3 std, l4 std, l5 std, l6 std, l7 std, l8 std, l9 std, l0 std B, l1 std B, l2 std B, l3 std B, l4 std B, l5 std B, l6 std B, l7 std B, l8 std B, l9 std B
reTOUCH:BU(Case4)D2,5,150000,150000,../../../data/RawData-segment-object-1M-Axons.bin,../../../data/RawData-segment-object-1M-Dendrites.bin,SGrid,3,100,10,897510,0.00398893,19794694728,262897,81382,0.000361698,4,17495,0.154,0.001,0.032,2.532,0,0.551,3.277,0.015,0.001,0.533,0.343,0.007,49.6005,137042,62.6944,2714.69,9013,9013,1,2.875,8,0,30,2,29,228,163,3702,8800,137042,0,0,1003,139,218,1003,613,3983,5717,119829,0,0,6.96496,6.62431,7.25972,6.64913,6.68954,7.09575,7.24953,7.30032,0,0,6.3822,6.12398,6.20121,6.23898,6.18086,6.30329,6.29772,6.34152,0,0,1.27648,0.994862,1.09008,0.977719,1.42151,1.70634,1.78712,1.81769,0,0,0.983673,0.750818,0.813422,0.906892,0.997981,1.02785,0.939094,0.988851,0,0
cTOUCH:BU(Case4)D2,5,170000,170000,../../../data/RawData-segment-object-1M-Axons.bin,../../../data/RawData-segment-object-1M-Dendrites.bin,SGrid,3,100,10,1102959,0.00381647,23749592078,321771,101154,0.000350014,13,26448,0.17,0,0.119,5.132,0,1.352,6.804,0.012,0.002,1.309,0.381,0.028,46.7562,152333,30.7271,1589.19,10205,10205,1,5.513,9,0,76,104,83,182,354,741,6680,9434,152333,0,2056,3839,3138,4817,10610,19764,40842,21729,36757,0,7.24231,7.19545,7.82759,8.0547,7.04309,7.76253,7.33673,7.19163,7.29352,0,6.29011,6.29787,6.32636,6.3614,6.30905,6.35668,6.37426,6.30255,6.32131,0,1.71273,1.60782,1.95649,2.51553,1.65607,2.03441,1.79476,1.74227,1.81497,0,0.98832,0.950638,0.989381,0.993552,0.960532,0.990909,1.00968,0.964265,0.978278,0
dTOUCH:BU(Case4)D2,5,170000,170000,../../../data/RawData-segment-object-1M-Axons.bin,../../../data/RawData-segment-object-1M-Dendrites.bin,SGrid,3,100,10,1077302,0.00372769,19090244140,316210,101154,0.000350014,48,22992,0.17,0,5.985,6.545,0,1.133,7.892,0.011,0.002,1.097,0.331,0.019,16.6909,94019,74.5294,1791.19,3074,3074,1,6.876,8,8,170000,0,0,0,0,0,0,0,0,0,22,0,0,0,5661,4344,65906,94019,0,0,7.29206,0,0,0,0,0,0,0,0,0,6.3354,6.30686,6.27316,6.27516,6.10429,6.3513,6.26669,6.33213,0,0,1.81243,0,0,0,0,0,0,0,0,0,0.983056,0.792114,0.953873,0.95028,0.702351,0.97959,0.929973,0.985332,0,0
reTOUCH:BU(Case4)D2,5,170000,170000,../../../data/RawData-segment-object-1M-Axons.bin,../../../data/RawData-segment-object-1M-Dendrites.bin,SGrid,3,100,10,1110651,0.00384308,24927628786,324797,101154,0.000350014,15,22992,0.173,0,0.036,3.102,0,0.634,3.953,0.018,0,0.614,0.418,0.008,49.4904,158061,62.1311,2910.7,10205,10205,1,3.52,8,0,44,0,93,0,0,544,11243,158061,0,0,673,76,1090,309,9,1219,8946,134686,0,0,7.86795,0,8.00117,0,0,7.36615,7.15928,7.30073,0,0,6.5511,6.25909,6.27029,6.22059,6.16288,6.43477,6.2652,6.3389,0,0,1.962,0,1.98692,0,0,1.86331,1.7322,1.81724,0,0,1.1781,0.800615,0.9223,0.861591,0.770949,1.10533,0.94368,0.984828,0,0
cTOUCH:BU(Case4)D2,5,190000,190000,../../../data/RawData-segment-object-1M-Axons.bin,../../../data/RawData-segment-object-1M-Dendrites.bin,SGrid,3,100,10,1341240,0.00371535,28866959548,391710,121879,0.000337615,6,28422,0.193,0,0.129,5.621,0,1.536,7.514,0.014,0.001,1.485,0.403,0.033,47.5101,124438,30.8234,1475.07,11407,11407,1,6.024,9,0,193,217,567,677,2290,4216,23297,34099,124438,0,1638,2240,3594,5532,10920,9698,18815,24447,84694,0,6.78579,6.55242,6.88038,7.49047,7.36848,7.01754,7.33734,7.30558,7.28933,0,6.35177,6.34036,6.32887,6.31292,6.27636,6.33021,6.35172,6.32085,6.34151,0,1.12949,1.16125,1.28703,2.03664,1.81955,1.43963,1.83653,1.83882,1.81267,0,0.971006,1.01183,0.987099,0.963809,0.953391,0.980966,0.977408,1.0043,0.981835,0
dTOUCH:BU(Case4)D2,5,190000,190000,../../../data/RawData-segment-object-1M-Axons.bin,../../../data/RawData-segment-object-1M-Dendrites.bin,SGrid,3,100,10,1301344,0.00360483,23776282644,378247,121879,0.000337615,131,26820,0.19,0,7.286,7.982,0,1.266,9.488,0.012,0.001,1.226,0.374,0.021,16.7259,111167,75.4334,1989.68,3399,3399,1,8.356,8,8,190000,0,0,0,0,0,0,0,0,0,34,195,0,0,943,0,77530,111167,0,0,7.29118,0,0,0,0,0,0,0,0,0,6.33322,0,0,6.194,6.36628,6.24696,6.35394,6.33324,0,0,1.8123,0,0,0,0,0,0,0,0,0,0.984757,0,0,0.919121,1.12915,0.946667,1.0065,0.982121,0,0
reTOUCH:BU(Case4)D2,5,190000,190000,../../../data/RawData-segment-object-1M-Axons.bin,../../../data/RawData-segment-object-1M-Dendrites.bin,SGrid,3,100,10,1340976,0.00371461,30235069925,369380,121879,0.000337615,5,26820,0.195,0,0.043,3.698,0,0.732,4.678,0.022,0.001,0.708,0.439,0.008,49.6845,148107,61.8954,2516.74,11413,11413,1,4.137,8,0,1,0,6,12,199,1291,40379,148107,0,0,243,0,0,1622,173,5918,47941,107283,0,0,6.62234,0,6.28716,7.29002,6.68544,6.9937,7.29046,7.29484,0,0,6.40543,0,0,6.21171,6.31778,6.2579,6.35629,6.32806,0,0,0.660958,0,0.768524,1.08148,1.55172,1.50243,1.80834,1.81591,0,0,1.09515,0,0,0.938007,1.05895,0.970223,0.994172,0.982227,0,0
cTOUCH:BU(Case4),5,10000,10000,../../../data/RawData-segment-object-1M-Axons.bin,../../../data/RawData-segment-object-1M-Dendrites.bin,SGrid,3,100,10,8007,0.008007,12379897,2142,714,0.000714,8101,1947,0.018,0,0.005,0.031,0,0.06,0.115,0,0,0.058,0.009,0,47.1854,3311,16.4768,176.972,605,605,1,0.04,6,0,22,34,136,124,730,853,0,0,0,0,0,61,655,483,5429,1425,0,0,0,0,8.1685,7.63828,6.25934,7.67571,7.09368,7.42052,0,0,0,0,0,6.10437,6.70703,6.35262,6.26675,6.23192,0,0,0,0,2.81796,1.95452,1.08007,1.81526,1.74933,1.87682,0,0,0,0,0,0.872399,1.39321,0.960688,0.918517,0.888024,0,0,0,0
dTOUCH:BU(Case4),5,10000,10000,../../../data/RawData-segment-object-1M-Axons.bin,../../../data/RawData-segment-object-1M-Dendrites.bin,SGrid,3,100,10,8041,0.008041,18013144,2174,714,0.000714,8281,1245,0.017,0,0.027,0.039,0,0.049,0.11,0,0,0.048,0.021,0.001,16.8103,1288,40.5647,94.733,178,178,1,0.06,6,5,10000,0,0,0,0,0,0,0,0,0,242,14,3,172,1288,0,0,0,0,0,7.29391,0,0,0,0,0,0,0,0,0,6.30603,0,0,6.35785,6.25338,6.28601,0,0,0,0,1.80539,0,0,0,0,0,0,0,0,0,0.97001,0,0,0.929595,0.815469,0.964088,0,0,0,0
reTOUCH:BU(Case4),5,10000,10000,../../../data/RawData-segment-object-1M-Axons.bin,../../../data/RawData-segment-object-1M-Dendrites.bin,SGrid,3,100,10,8622,0.008622,86484820,2061,714,0.000714,108,1245,0.015,0,0.003,0.042,0,0.029,0.09,0,0,0.029,0.018,0,48.366,5764,60.9379,531.106,613,613,1,0.06,6,0,0,0,0,65,4864,4963,0,0,0,0,53,0,0,570,2368,5764,0,0,0,0,0,0,0,6.72473,7.27592,7.32539,0,0,0,0,6.34302,0,0,6.3039,6.30238,6.30287,0,0,0,0,0,0,0,0.993012,1.76866,1.85643,0,0,0,0,0.797059,0,0,0.893192,0.91965,0.992118,0,0,0,0
