Algorithm, Epsilon, #A, #B, infile A, infile B, LocalJoin Alg, Fanout, Leaf size, gridSize, Compared #, Compared %, ComparedMax, Duplicates, Results, Selectivity, filtered A, filtered B,t loading, t init, t build, t probe, t comparing, t partition, t total, t deDuplicating, t analyzing, t sorting, t gridCalculate, t sizeCalculate,EmptyCells(%), MaxObj, AveObj, StdObj, repA, repB, max level, gridP robe, tree height A, tree height B,l0 assigned, l1 assigned, l2 assigned, l3 assigned, l4 assigned, l5 assigned, l6 assigned, l7 assigned, l8 assigned, l9 assigned,l0 assigned B, l1 assigned B, l2 assigned B, l3 assigned B, l4 assigned B, l5 assigned B, l6 assigned B, l7 assigned B, l8 assigned B, l9 assigned B,l0 avg, l1 avg, l2 avg, l3 avg, l4 avg, l5 avg, l6 avg, l7 avg, l8 avg, l9 avg,l0 avg B, l1 avg B, l2 avg B, l3 avg B, l4 avg B, l5 avg B, l6 avg B, l7 avg B, l8 avg B, l9 avg B,l0 std, l1 std, l2 std, l3 std, l4 std, l5 std, l6 std, l7 std, l8 std, l9 std, l0 std B, l1 std B, l2 std B, l3 std B, l4 std B, l5 std B, l6 std B, l7 std B, l8 std B, l9 std B
TOUCH,5,2000,2000,../../../data/samplesRandomUni/2000/sample1.bin,../../../data/samplesRandomUni/2000/sample2.bin,SGrid,3,100,100,52,0.0013,2543300,9,3,7.5e-05,0,5,0.002,0,0,0.007,0.002,0.006,0.016,0.001,0,0.006,0.004,0,17.7419,1022,64.4355,137.024,29,29,1,0.011,4,0,2000,0,0,0,0,0,0,0,0,0,286,246,441,1022,0,0,0,0,0,0,166.745,0,0,0,0,0,0,0,0,0,166.996,165.623,166.549,165.681,0,0,0,0,0,0,10.6698,0,0,0,0,0,0,0,0,0,10.2414,10.5741,10.976,10.5844,0,0,0,0,0,0,
PBSM,5,2000,2000,../../../data/samplesRandomUni/2000/sample1.bin,../../../data/samplesRandomUni/2000/sample2.bin,NL,0,0,1000000,273,0.006825,0,17,3,7.5e-05,0,0,0.001,0,0.008,0.037,0,0,0.047,0,0,0,0,0,0,0,0,0,1,1,0,0.037,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
cTOUCH,5,2000,2000,../../../data/samplesRandomUni/2000/sample1.bin,../../../data/samplesRandomUni/2000/sample2.bin,SGrid,3,100,100,88,0.0022,117273,1,3,7.5e-05,8,5,0.001,0,0.002,0.002,0,0.011,0.019,0,0,0.011,0.003,0,20.1613,413,32.1532,64.8481,125,125,1,0.005,5,0,533,346,270,515,328,0,0,0,0,0,474,320,412,500,289,0,0,0,0,0,166.609,166.869,167.189,166.917,166.076,0,0,0,0,0,166.597,166.428,165.711,165.47,166.262,0,0,0,0,0,10.7409,10.5036,10.6942,11.02,10.151,0,0,0,0,0,10.3823,10.5228,10.7284,10.7081,10.8356,0,0,0,0,0,
dTOUCH,5,2000,2000,../../../data/samplesRandomUni/2000/sample1.bin,../../../data/samplesRandomUni/2000/sample2.bin,SGrid,3,100,100,119,0.002975,860128,8,3,7.5e-05,9,5,0.001,0,0.006,0.005,0.004,0.008,0.02,0,0,0.008,0.005,0,18.1818,974,75.2273,151.515,69,69,1,0.01,4,4,2000,0,0,0,0,0,0,0,0,0,369,326,322,974,0,0,0,0,0,0,166.745,0,0,0,0,0,0,0,0,0,165.887,165.345,167.451,166.217,0,0,0,0,0,0,10.6698,0,0,0,0,0,0,0,0,0,8.42381,10.1267,11.3785,11.0514,0,0,0,0,0,0,
reTOUCH,5,2000,2000,../../../data/samplesRandomUni/2000/sample1.bin,../../../data/samplesRandomUni/2000/sample2.bin,SGrid,3,100,100,99,0.002475,1248900,5,3,7.5e-05,23,5,0.001,0,0.001,0.002,0,0.006,0.013,0,0,0.005,0.003,0,17.7419,1034,64.0645,188.953,125,125,1,0.005,4,0,280,207,456,1034,0,0,0,0,0,0,286,246,441,1022,0,0,0,0,0,0,166.964,166.502,166.554,166.819,0,0,0,0,0,0,166.996,165.623,166.549,165.681,0,0,0,0,0,0,11.4145,11.0462,10.2043,10.5421,0,0,0,0,0,0,10.2414,10.5741,10.976,10.5844,0,0,0,0,0,0,
rereTOUCH,5,2000,2000,../../../data/samplesRandomUni/2000/sample1.bin,../../../data/samplesRandomUni/2000/sample2.bin,SGrid,3,100,100,91,0.002275,0,7,3,7.5e-05,23,45,0.001,0,0.001,0.003,0.002,0.004,0.013,0,0,0.004,0.004,0,24.1935,1034,63.4194,188.227,125,125,1,0.007,4,0,280,207,456,1034,0,0,0,0,0,0,297,192,462,1004,0,0,0,0,0,0,166.964,166.502,166.554,166.819,0,0,0,0,0,0,167.116,165.677,166.479,165.671,0,0,0,0,0,0,11.4145,11.0462,10.2043,10.5421,0,0,0,0,0,0,10.0244,11.1885,11.0178,10.5786,0,0,0,0,0,0,
PS,5,2000,2000,../../../data/samplesRandomUni/2000/sample1.bin,../../../data/samplesRandomUni/2000/sample3.bin,NL,0,0,0,43588,1.0897,0,0,3,7.5e-05,0,0,0.002,0,0,0,0,0,0.068,0,0,0.001,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
SGrid,5,2000,2000,../../../data/samplesRandomUni/2000/sample1.bin,../../../data/samplesRandomUni/2000/sample3.bin,NL,0,0,1000000,24,0.0006,0,1,3,7.5e-05,0,0,0.001,0,0.002,0.001,0,0,0.004,0,0,0,0,0,0,0,0,0,1,1,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
TOUCH,5,2000,2000,../../../data/samplesRandomUni/2000/sample1.bin,../../../data/samplesRandomUni/2000/sample3.bin,SGrid,3,100,100,22,0.00055,2546800,1,3,7.5e-05,0,9,0.001,0,0,0.006,0.002,0.006,0.013,0,0,0.005,0.004,0,19.3548,1027,64.371,137.291,29,29,1,0.01,4,0,2000,0,0,0,0,0,0,0,0,0,281,250,433,1027,0,0,0,0,0,0,166.745,0,0,0,0,0,0,0,0,0,167.005,165.869,166.109,166.579,0,0,0,0,0,0,10.6698,0,0,0,0,0,0,0,0,0,10.1033,10.551,10.762,10.8404,0,0,0,0,0,0,
PBSM,5,2000,2000,../../../data/samplesRandomUni/2000/sample1.bin,../../../data/samplesRandomUni/2000/sample3.bin,NL,0,0,1000000,289,0.007225,0,6,3,7.5e-05,0,0,0.001,0,0.008,0.04,0,0,0.05,0,0,0,0,0,0,0,0,0,1,1,0,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
