Algorithm, Epsilon, #A, #B, infile A, infile B, LocalJoin Alg, Fanout, Leaf size, gridSize, Compared #, Compared %, ComparedMax, Duplicates, Results, Selectivity, filtered A, filtered B,t loading, t init, t build, t probe, t comparing, t partition, t total, t deDuplicating, t analyzing, t sorting, t gridCalculate, t sizeCalculate,EmptyCells(%), MaxObj, AveObj, StdObj, repA, repB, max level, gridP robe, tree height A, tree height B,l0 assigned, l1 assigned, l2 assigned, l3 assigned, l4 assigned, l5 assigned, l6 assigned, l7 assigned, l8 assigned, l9 assigned,l0 assigned B, l1 assigned B, l2 assigned B, l3 assigned B, l4 assigned B, l5 assigned B, l6 assigned B, l7 assigned B, l8 assigned B, l9 assigned B,l0 avg, l1 avg, l2 avg, l3 avg, l4 avg, l5 avg, l6 avg, l7 avg, l8 avg, l9 avg,l0 avg B, l1 avg B, l2 avg B, l3 avg B, l4 avg B, l5 avg B, l6 avg B, l7 avg B, l8 avg B, l9 avg B,l0 std, l1 std, l2 std, l3 std, l4 std, l5 std, l6 std, l7 std, l8 std, l9 std, l0 std B, l1 std B, l2 std B, l3 std B, l4 std B, l5 std B, l6 std B, l7 std B, l8 std B, l9 std B
dTOUCH:BU(Case4)D3,5,15000,15000,../../../data/samplesAxExpDifLenSmall/15000/sample7.bin,../../../data/samplesAxExpDifLenSmall/15000/sample4.bin,SGrid,3,100,10,15905,0.00706889,165278060,3988,1389,0.000617333,482,612,0.02,0,0.09,0.121,0,0.084,0.231,0,0,0.081,0.038,0.002,17.027,8559,72.1703,525.197,273,273,1,0.159,6,6,15000,0,0,0,0,0,0,0,0,0,256,0,280,0,5423,8559,0,0,0,0,7.31195,0,0,0,0,0,0,0,0,0,7.25261,0,7.14489,6.99819,7.3003,7.08332,0,0,0,0,1.81754,0,0,0,0,0,0,0,0,0,1.78747,0,1.52751,1.44103,1.8078,1.70385,0,0,0,0
reTOUCH:BU(Case4)D3,5,15000,15000,../../../data/samplesAxExpDifLenSmall/15000/sample7.bin,../../../data/samplesAxExpDifLenSmall/15000/sample4.bin,SGrid,3,100,10,15211,0.00676044,177118745,3831,1389,0.000617333,59,612,0.02,0,0.004,0.081,0,0.044,0.151,0,0,0.042,0.034,0.001,47.5664,5902,64.8872,552.841,905,905,1,0.115,6,0,0,0,46,544,8449,5902,0,0,0,0,190,0,282,409,8076,5431,0,0,0,0,0,0,7.06857,7.30257,7.37409,7.23064,0,0,0,0,6.95197,0,7.21914,7.01914,7.34052,7.13187,0,0,0,0,0,0,1.39876,1.88392,1.83528,1.78192,0,0,0,0,1.96445,0,1.61839,1.59899,1.85362,1.69127,0,0,0,0
cTOUCH:BU(Case4)D3,5,15000,15000,../../../data/samplesAxExpDifLenSmall/15000/sample7.bin,../../../data/samplesAxExpDifLenSmall/15000/sample5.bin,SGrid,3,100,10,14722,0.00654311,186724061,3812,1358,0.000603556,385,1021,0.02,0,0.011,0.1,0,0.097,0.232,0,0,0.094,0.031,0.004,45.4746,7823,31.5607,390.689,907,907,1,0.131,7,0,45,107,94,273,1944,4329,7823,0,0,0,299,695,793,1455,2456,966,7315,0,0,0,7.69949,6.52167,7.40847,7.70316,7.31324,7.27118,7.31945,0,0,0,7.32693,7.56269,7.38982,7.61842,7.26803,7.44153,7.22904,0,0,0,1.78599,1.19813,1.83027,1.97199,1.84719,1.77364,1.81773,0,0,0,2.06143,1.82781,1.88827,1.99039,1.74006,1.92908,1.773,0,0,0
dTOUCH:BU(Case4)D3,5,15000,15000,../../../data/samplesAxExpDifLenSmall/15000/sample7.bin,../../../data/samplesAxExpDifLenSmall/15000/sample5.bin,SGrid,3,100,10,14249,0.00633289,164608139,3722,1358,0.000603556,225,894,0.018,0,0.082,0.109,0,0.079,0.211,0,0,0.074,0.032,0.002,17.1271,8703,73.4475,538.187,270,270,1,0.141,6,6,15000,0,0,0,0,0,0,0,0,0,61,0,575,0,5436,8703,0,0,0,0,7.31195,0,0,0,0,0,0,0,0,0,7.31112,0,7.56543,7.02153,7.37252,7.26257,0,0,0,0,1.81754,0,0,0,0,0,0,0,0,0,1.82269,0,1.97817,1.7614,1.80281,1.82868,0,0,0,0
reTOUCH:BU(Case4)D3,5,15000,15000,../../../data/samplesAxExpDifLenSmall/15000/sample7.bin,../../../data/samplesAxExpDifLenSmall/15000/sample5.bin,SGrid,3,100,10,14648,0.00651022,167894041,3671,1358,0.000603556,70,894,0.023,0,0.004,0.079,0,0.044,0.152,0,0,0.043,0.031,0.001,48.0088,5904,64.2389,546.075,905,905,1,0.11,6,0,0,0,34,544,8448,5904,0,0,0,0,202,0,298,71,9023,4512,0,0,0,0,0,0,6.83026,7.30257,7.37372,7.23114,0,0,0,0,6.62193,0,7.61586,7.05398,7.34347,7.254,0,0,0,0,0,0,0.891494,1.88392,1.83481,1.7825,0,0,0,0,1.40722,0,1.95412,1.578,1.82615,1.81254,0,0,0,0
cTOUCH:BU(Case4)D3,5,15000,15000,../../../data/samplesAxExpDifLenSmall/15000/sample7.bin,../../../data/samplesAxExpDifLenSmall/15000/sample6.bin,SGrid,3,100,10,11506,0.00511378,142588704,2792,1007,0.000447556,312,2160,0.028,0,0.014,0.086,0,0.096,0.228,0,0,0.092,0.029,0.003,44.1501,5088,30.3841,268.336,907,907,1,0.115,7,0,360,180,1715,2212,3169,1964,5088,0,0,0,355,204,1027,2737,1868,1868,4781,0,0,0,6.73902,7.2231,7.43142,7.40542,7.37519,7.19335,7.29608,0,0,0,6.99924,6.87859,7.17039,7.53702,7.27344,7.27265,7.27501,0,0,0,1.34952,1.82275,1.83294,1.88663,1.88157,1.6714,1.80246,0,0,0,1.64685,1.1141,1.70724,1.96172,1.84341,1.87,1.80505,0,0,0
dTOUCH:BU(Case4)D3,5,15000,15000,../../../data/samplesAxExpDifLenSmall/15000/sample7.bin,../../../data/samplesAxExpDifLenSmall/15000/sample6.bin,SGrid,3,100,10,12062,0.00536089,137587318,2956,1007,0.000447556,725,1095,0.022,0,0.073,0.095,0,0.075,0.198,0.001,0,0.073,0.024,0.002,17.1512,7971,74.2238,507.281,264,264,1,0.119,6,6,15000,0,0,0,0,0,0,0,0,0,474,77,415,300,7971,5038,0,0,0,0,7.31195,0,0,0,0,0,0,0,0,0,7.26402,0,7.66781,6.65853,7.36523,7.39118,0,0,0,0,1.81754,0,0,0,0,0,0,0,0,0,1.79761,0,2.03294,1.23371,1.93745,1.9984,0,0,0,0
reTOUCH:BU(Case4)D3,5,15000,15000,../../../data/samplesAxExpDifLenSmall/15000/sample7.bin,../../../data/samplesAxExpDifLenSmall/15000/sample6.bin,SGrid,3,100,10,11849,0.00526622,167678780,2873,1007,0.000447556,34,1095,0.019,0,0.004,0.074,0,0.043,0.142,0,0,0.041,0.035,0.001,47.1239,5902,63.8739,532.048,905,905,1,0.109,6,0,36,0,34,544,8450,5902,0,0,0,0,543,0,511,431,7838,4582,0,0,0,0,6.10724,0,6.83026,7.30257,7.37434,7.23064,0,0,0,0,6.96691,0,7.60156,6.64232,7.34545,7.19,0,0,0,0,0.913082,0,0.891494,1.88392,1.83571,1.78192,0,0,0,0,1.49608,0,1.96202,1.11321,1.86558,1.76649,0,0,0,0
cTOUCH:BU(Case4)D3,5,15000,15000,../../../data/samplesAxExpDifLenSmall/15000/sample7.bin,../../../data/samplesAxExpDifLenSmall/15000/sample7.bin,SGrid,3,100,10,738495,0.32822,219847339,425722,111954,0.0497573,0,0,0.019,0,0.013,1.541,0,0.125,1.704,0.015,0,0.12,0.031,0.006,45.8057,6746,33.1126,408.39,907,907,1,1.572,7,0,340,144,133,341,1894,6746,5402,0,0,0,422,154,145,339,1776,6683,5481,0,0,0,7.58838,7.52157,7.32043,7.8261,7.33019,7.3233,7.23574,0,0,0,7.48771,7.66293,7.38194,7.46054,7.33572,7.33133,7.2462,0,0,0,1.99544,1.94226,1.42598,2.12132,1.81077,1.8156,1.78679,0,0,0,1.99639,1.83117,1.42247,1.88084,1.83194,1.82913,1.7855,0,0,0
dTOUCH:BU(Case4)D3,5,15000,15000,../../../data/samplesAxExpDifLenSmall/15000/sample7.bin,../../../data/samplesAxExpDifLenSmall/15000/sample7.bin,SGrid,3,100,10,743125,0.330278,141583761,426767,111954,0.0497573,41,0,0.02,0,1.294,1.518,0,0.08,1.622,0.018,0,0.078,0.024,0.002,16.9231,7703,71.3385,430.979,280,280,1,1.542,6,6,15000,0,0,0,0,0,0,0,0,0,51,85,210,5605,1305,7703,0,0,0,0,7.31195,0,0,0,0,0,0,0,0,0,7.31086,0,6.96974,7.30905,7.36897,7.23371,0,0,0,0,1.81754,0,0,0,0,0,0,0,0,0,1.80684,0,0.874329,1.93811,1.86476,1.81694,0,0,0,0
