Algorithm, Epsilon, #A, #B, infile A, infile B, LocalJoin Alg, Fanout, Leaf size, gridSize, Compared #, Compared %, ComparedMax, Duplicates, Results, Selectivity, filtered A, filtered B,t loading, t init, t build, t probe, t comparing, t partition, t total, t deDuplicating, t analyzing, t sorting, t gridCalculate, t sizeCalculate,EmptyCells(%), MaxObj, AveObj, StdObj, repA, repB, max level, gridP robe, tree height A, tree height B,l0 assigned, l1 assigned, l2 assigned, l3 assigned, l4 assigned, l5 assigned, l6 assigned, l7 assigned, l8 assigned, l9 assigned,l0 assigned B, l1 assigned B, l2 assigned B, l3 assigned B, l4 assigned B, l5 assigned B, l6 assigned B, l7 assigned B, l8 assigned B, l9 assigned B,l0 avg, l1 avg, l2 avg, l3 avg, l4 avg, l5 avg, l6 avg, l7 avg, l8 avg, l9 avg,l0 avg B, l1 avg B, l2 avg B, l3 avg B, l4 avg B, l5 avg B, l6 avg B, l7 avg B, l8 avg B, l9 avg B,l0 std, l1 std, l2 std, l3 std, l4 std, l5 std, l6 std, l7 std, l8 std, l9 std, l0 std B, l1 std B, l2 std B, l3 std B, l4 std B, l5 std B, l6 std B, l7 std B, l8 std B, l9 std B
dTOUCH:BU(Case4),5,10000,10000,../../../data/samplesAxExpDifLen/10000/sample1.bin,../../../data/samplesAxExpDifLen/10000/sample4.bin,SGrid,3,100,10,14503,0.014503,71151360,1077,922,0.000922,616,1232,0.014,0,0.05,0.062,0,0.049,0.129,0.001,0,0.048,0.013,0.001,16.6667,7671,73.0342,505.628,179,179,1,0.075,6,5,10000,0,0,0,0,0,0,0,0,0,449,0,0,1264,7671,0,0,0,0,0,7.29391,0,0,0,0,0,0,0,0,0,7.36427,0,7.38131,10.2276,7.35888,7.36924,0,0,0,0,1.80539,0,0,0,0,0,0,0,0,0,1.84103,0,0.554148,2.92591,1.9163,1.76869,0,0,0,0,
reTOUCH:BU(Case4),5,10000,10000,../../../data/samplesAxExpDifLen/10000/sample1.bin,../../../data/samplesAxExpDifLen/10000/sample4.bin,SGrid,3,100,10,337088,0.337088,86821105,210,922,0.000922,76,1232,0.019,0,0.003,0.732,0,0.029,0.784,0.001,0,0.028,0.004,0,47.7124,4971,61.085,530.423,613,613,1,0.736,6,0,0,0,0,63,4890,4971,0,0,0,0,10,0,2,4,3982,4770,0,0,0,0,0,0,0,6.70495,7.27818,7.32323,0,0,0,0,8.48029,0,7.38131,10.0533,7.28274,7.42846,0,0,0,0,0,0,0,0.999688,1.76942,1.85613,0,0,0,0,2.22243,0,0.554148,2.75371,1.78428,1.89565,0,0,0,0,
cTOUCH:BU(Case4),5,10000,10000,../../../data/samplesAxExpDifLen/10000/sample1.bin,../../../data/samplesAxExpDifLen/10000/sample5.bin,SGrid,3,100,10,137967,0.137967,45369169,561,732,0.000732,1593,1524,0.018,0,0.008,0.317,0,0.064,0.409,0,0,0.061,0.007,0.002,45.6954,3839,27.952,243.257,605,605,1,0.324,6,0,62,653,429,611,5043,1609,0,0,0,0,147,427,1128,504,5654,616,0,0,0,0,7.40423,7.49864,7.142,6.86402,7.44789,7.19601,0,0,0,0,7.22675,7.57299,7.34617,7.34614,7.21243,7.13741,0,0,0,0,1.74117,1.82162,1.67569,1.51344,1.92105,1.68854,0,0,0,0,1.65948,1.98418,1.86834,1.91681,1.75026,1.74865,0,0,0,0,
dTOUCH:BU(Case4),5,10000,10000,../../../data/samplesAxExpDifLen/10000/sample1.bin,../../../data/samplesAxExpDifLen/10000/sample5.bin,SGrid,3,100,10,16444,0.016444,73408052,689,732,0.000732,1411,870,0.016,0,0.061,0.072,0,0.052,0.142,0,0,0.051,0.017,0.001,16.5289,8004,68.7066,513.487,182,182,1,0.089,6,5,10000,0,0,0,0,0,0,0,0,0,270,20,161,134,8004,0,0,0,0,0,7.29391,0,0,0,0,0,0,0,0,0,7.22539,8.69677,5.29614,7.11631,7.37944,7.18183,0,0,0,0,1.80539,0,0,0,0,0,0,0,0,0,1.76696,2.53451,0.185336,0.887263,1.96622,1.66388,0,0,0,0,
reTOUCH:BU(Case4),5,10000,10000,../../../data/samplesAxExpDifLen/10000/sample1.bin,../../../data/samplesAxExpDifLen/10000/sample5.bin,SGrid,3,100,10,328571,0.328571,90147083,1595,732,0.000732,71,870,0.019,0,0.003,0.72,0,0.031,0.773,0,0,0.03,0.007,0,46.732,5125,62.2843,539.925,613,613,1,0.727,6,0,0,1,0,63,4893,4972,0,0,0,0,35,23,4,11,3932,5125,0,0,0,0,0,6.55131,0,6.70495,7.27707,7.32419,0,0,0,0,7.73002,8.52178,5.74637,7.50782,7.31165,7.17365,0,0,0,0,0,0.09801,0,0.999688,1.7681,1.85672,0,0,0,0,1.87304,2.3241,0.557009,1.20921,1.8378,1.73741,0,0,0,0,
cTOUCH:BU(Case4),5,10000,10000,../../../data/samplesAxExpDifLen/10000/sample1.bin,../../../data/samplesAxExpDifLen/10000/sample6.bin,SGrid,3,100,10,83990,0.08399,70218897,2133,435,0.000435,1417,893,0.012,0,0.007,0.204,0,0.065,0.29,0,0,0.062,0.01,0.002,43.0464,6596,29.2881,304.262,605,605,1,0.214,6,0,151,167,818,553,298,6596,0,0,0,0,884,334,1288,1224,2768,2609,0,0,0,0,7.73924,6.86766,7.45097,8.01195,6.697,7.27628,0,0,0,0,7.43175,7.60918,7.22751,7.40471,7.44417,7.13073,0,0,0,0,1.73167,1.48442,1.91209,2.26259,1.07946,1.78046,0,0,0,0,1.9857,1.84537,1.76331,1.90409,1.8685,1.70488,0,0,0,0,
dTOUCH:BU(Case4),5,10000,10000,../../../data/samplesAxExpDifLen/10000/sample1.bin,../../../data/samplesAxExpDifLen/10000/sample6.bin,SGrid,3,100,10,10404,0.010404,60562636,567,435,0.000435,1763,1142,0.014,0,0.04,0.05,0,0.051,0.118,0,0,0.049,0.009,0,16.6667,6212,68.4017,414.551,179,179,1,0.059,6,5,10000,0,0,0,0,0,0,0,0,0,197,93,388,1347,6212,0,0,0,0,0,7.29391,0,0,0,0,0,0,0,0,0,7.32484,7.21566,7.18303,10.2809,7.40723,7.27342,0,0,0,0,1.80539,0,0,0,0,0,0,0,0,0,1.8313,1.71163,0.738876,2.88616,1.83678,1.92581,0,0,0,0,
reTOUCH:BU(Case4),5,10000,10000,../../../data/samplesAxExpDifLen/10000/sample1.bin,../../../data/samplesAxExpDifLen/10000/sample6.bin,SGrid,3,100,10,219384,0.219384,87762709,170,435,0.000435,71,1142,0.014,0,0.003,0.485,0,0.029,0.531,0,0,0.028,0.005,0,47.0588,4968,61.3954,531.005,613,613,1,0.49,6,0,0,8,0,63,4890,4968,0,0,0,0,42,17,2,9,4059,4729,0,0,0,0,0,7.02519,0,6.70495,7.27818,7.32406,0,0,0,0,7.99225,7.10111,7.08576,9.72098,7.44944,7.22452,0,0,0,0,0,0.708422,0,0.999688,1.76942,1.85623,0,0,0,0,1.68397,1.5622,0.737839,2.64771,1.9017,1.77647,0,0,0,0,
cTOUCH:BU(Case4),5,10000,10000,../../../data/samplesAxExpDifLen/10000/sample1.bin,../../../data/samplesAxExpDifLen/10000/sample7.bin,SGrid,3,100,10,150363,0.150363,81694710,4188,807,0.000807,718,798,0.019,0,0.006,0.342,0,0.062,0.432,0,0,0.06,0.009,0.002,44.0397,7977,30.6026,391.555,605,605,1,0.351,6,0,8,38,369,64,826,7977,0,0,0,0,189,254,213,1540,1896,5110,0,0,0,0,8.45976,8.21118,6.90974,6.61288,7.62079,7.30511,0,0,0,0,7.46859,7.37749,7.63438,7.30025,7.14919,7.26607,0,0,0,0,2.44251,2.53327,1.35724,1.6175,1.94676,1.81908,0,0,0,0,1.86636,1.93808,1.89255,1.80545,1.67249,1.82042,0,0,0,0,
dTOUCH:BU(Case4),5,10000,10000,../../../data/samplesAxExpDifLen/10000/sample1.bin,../../../data/samplesAxExpDifLen/10000/sample7.bin,SGrid,3,100,10,17930,0.01793,74934954,1552,807,0.000807,1072,942,0.018,0,0.057,0.071,0,0.052,0.145,0,0,0.05,0.016,0.001,16.8067,8325,70.2941,538.52,180,180,1,0.087,6,5,10000,0,0,0,0,0,0,0,0,0,78,0,297,228,8325,0,0,0,0,0,7.29391,0,0,0,0,0,0,0,0,0,7.26664,0,5.84156,8.24769,7.2021,7.24226,0,0,0,0,1.80539,0,0,0,0,0,0,0,0,0,1.79427,0,0.784046,2.58396,1.75865,1.85674,0,0,0,0,
reTOUCH:BU(Case4),5,10000,10000,../../../data/samplesAxExpDifLen/10000/sample1.bin,../../../data/samplesAxExpDifLen/10000/sample7.bin,SGrid,3,100,10,243392,0.243392,89294640,539,807,0.000807,70,942,0.012,0,0.002,0.537,0,0.034,0.586,0.001,0,0.032,0.003,0.001,46.732,4968,62.0523,535.031,613,613,1,0.54,6,0,14,0,0,69,4879,4968,0,0,0,0,100,0,7,13,4880,4058,0,0,0,0,7.24224,0,0,6.66881,7.27704,7.32422,0,0,0,0,7.39342,0,5.65484,7.7,7.21198,7.31587,0,0,0,0,2.08831,0,0,0.988534,1.76877,1.85609,0,0,0,0,1.86647,0,0.722287,2.15968,1.71446,1.88768,0,0,0,0,
