Filename, Average, Standard deviation, Minimum, Maximum
./samplesAxons/2000/sample1.bin,25.5758,3199.79,0,1303.21
./samplesAxons/2000/sample2.bin,21.7708,2870.76,0,1455.62
./samplesAxons/2000/sample3.bin,25.8761,3280.05,0,1430.89
./samplesAxons/2000/sample4.bin,25.5054,3382.25,0,1456.83
./samplesAxons/2000/sample5.bin,20.1679,2703.71,0,1422.08
./samplesAxons/2000/sample6.bin,26.3385,3437.69,0,1452.99
./samplesAxons/2000/sample7.bin,21.0351,2561.1,0,787.116
./samplesAxons/2000/sample8.bin,26.9606,3692.05,0,1459.35
./samplesAxons/2000/sample9.bin,24.5071,3276.48,0,1441.38
./samplesAxons/2000/sample10.bin,24.6807,3254.3,0,1459.08
