Algorithm, Epsilon, #A, #B, infile A, infile B, LocalJoin Alg, Fanout, Leaf size, gridSize, Compared #, Compared %, ComparedMax, Duplicates, Results, Selectivity, filtered A, filtered B,t loading, t init, t build, t probe, t comparing, t partition, t total, t deDuplicating, t analyzing, t sorting, t gridCalculate, t sizeCalculate,EmptyCells(%), MaxObj, AveObj, StdObj, repA, repB, max level, gridP robe, tree height A, tree height B,l0 assigned, l1 assigned, l2 assigned, l3 assigned, l4 assigned, l5 assigned, l6 assigned, l7 assigned, l8 assigned, l9 assigned,l0 assigned B, l1 assigned B, l2 assigned B, l3 assigned B, l4 assigned B, l5 assigned B, l6 assigned B, l7 assigned B, l8 assigned B, l9 assigned B,l0 avg, l1 avg, l2 avg, l3 avg, l4 avg, l5 avg, l6 avg, l7 avg, l8 avg, l9 avg,l0 avg B, l1 avg B, l2 avg B, l3 avg B, l4 avg B, l5 avg B, l6 avg B, l7 avg B, l8 avg B, l9 avg B,l0 std, l1 std, l2 std, l3 std, l4 std, l5 std, l6 std, l7 std, l8 std, l9 std, l0 std B, l1 std B, l2 std B, l3 std B, l4 std B, l5 std B, l6 std B, l7 std B, l8 std B, l9 std B
SGrid,5,100000,100000,../../../data/RawData-segment-object-1M-Axons.bin,../../../data/RawData-segment-object-1M-Dendrites.bin,NL,0,0,1000000,915515,0.00915515,0,44425,34710,0.0003471,0,0,0.223,0,0.056,2.143,0,0,2.457,0.005,0,0,0,0,0,0,0,0,1,1,0,2.143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
TOUCH,5,100000,100000,../../../data/RawData-segment-object-1M-Axons.bin,../../../data/RawData-segment-object-1M-Dendrites.bin,SGrid,3,100,100,730524,0.00730524,7553055900,83444,34710,0.0003471,0,11855,0.115,0,0.005,1.847,1.781,0.313,2.286,0.006,0.001,0.299,0.06,0.004,49.6013,53396,62.5066,1130.52,1007,1007,1,1.907,8,0,100000,0,0,0,0,0,0,0,0,0,545,0,0,0,48,258,33898,53396,0,0,420.361,0,0,0,0,0,0,0,0,0,251.145,0,0,0,238.169,210.468,256.783,255.836,0,0,306.021,0,0,0,0,0,0,0,0,0,86.5172,0,0,0,38.2601,68.3086,95.0015,94.1367,0,0,
PBSM,5,100000,100000,../../../data/RawData-segment-object-1M-Axons.bin,../../../data/RawData-segment-object-1M-Dendrites.bin,NL,0,0,1000000,3232267,0.0323227,0,128642,34710,0.0003471,0,0,0.113,0,0.108,7.527,0,0,7.756,0.006,0,0,0,0,0,0,0,0,1,1,0,7.527,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
cTOUCH,5,100000,100000,../../../data/RawData-segment-object-1M-Axons.bin,../../../data/RawData-segment-object-1M-Dendrites.bin,SGrid,3,100,100,520609,0.00520609,902371035,271397,34710,0.0003471,1274,12368,0.105,0,0.066,1.524,1.44,0.66,3.33,0.006,0.001,0.633,0.954,0.01,48.8012,62183,31.0286,1149.49,6007,6007,1,2.478,8,0,474,1366,2531,4570,6952,8712,11938,62183,0,0,190,299,778,2604,4634,6041,10983,62103,0,0,406.272,369.128,397.093,416.869,413.493,400.845,442.876,421.041,0,0,244.439,266.386,244.672,251.818,245.121,250.226,262.032,256.394,0,0,258.055,251.321,308.535,310.032,284.713,288.248,324.841,307.383,0,0,69.3445,103.254,80.6077,93.3029,69.9772,79.7167,111.167,94.2408,0,0,
dTOUCH,5,100000,100000,../../../data/RawData-segment-object-1M-Axons.bin,../../../data/RawData-segment-object-1M-Dendrites.bin,SGrid,3,100,100,930905,0.00930905,93111124,659533,34710,0.0003471,2376,11855,0.108,0,2.641,2.356,2.203,0.551,4.535,0.01,0.001,0.528,1.483,0.008,16.7352,54060,73.382,1236.79,3619,3619,1,3.839,8,8,100000,0,0,0,0,0,0,0,0,0,570,22,315,1126,2003,15663,54060,23865,0,0,420.361,0,0,0,0,0,0,0,0,0,256.082,0,0,0,243.604,199.02,258.053,253.857,0,0,306.021,0,0,0,0,0,0,0,0,0,94.5339,0,0,0,42.9851,42.9798,96.8177,87.7411,0,0,
reTOUCH,5,100000,100000,../../../data/RawData-segment-object-1M-Axons.bin,../../../data/RawData-segment-object-1M-Dendrites.bin,SGrid,3,100,100,530424,0.00530424,5997152303,285544,34710,0.0003471,31,11855,0.111,0,0.024,1.513,1.401,0.317,3.581,0.008,0.001,0.304,1.601,0.004,49.6013,57843,62.4963,1698.54,6021,6021,1,3.114,8,0,14,0,10,12,99,1638,40353,57843,0,0,545,0,0,0,48,258,33898,53396,0,0,256.29,0,214.447,571.392,387.497,384.34,420.009,421.824,0,0,251.145,0,0,0,238.169,210.468,256.783,255.836,0,0,59.8347,0,44.5229,313.786,229.849,285.425,304.995,307.422,0,0,86.5172,0,0,0,38.2601,68.3086,95.0015,94.1367,0,0,
rereTOUCH,5,100000,100000,../../../data/RawData-segment-object-1M-Axons.bin,../../../data/RawData-segment-object-1M-Dendrites.bin,SGrid,3,100,100,548171,0.00548171,4974498,303278,34710,0.0003471,31,13529,0.107,0.001,0.036,1.496,1.454,0.314,3.637,0.007,0,0.301,1.67,0.004,49.8007,57843,61.9402,1688.4,6021,6021,1,3.166,8,0,14,0,10,12,99,1638,40353,57843,0,0,12,0,0,0,5,76,33996,52382,0,0,256.29,0,214.447,571.392,387.497,384.34,420.009,421.824,0,0,216.327,0,0,0,248.702,265.541,257.073,255.608,0,0,59.8347,0,44.5229,313.786,229.849,285.425,304.995,307.422,0,0,25.9024,0,0,0,41.4671,103.454,95.9343,93.7245,0,0,
