Algorithm, Epsilon, #A, #B, infile A, infile B, LocalJoin Alg, Fanout, Leaf size, gridSize, Compared #, Compared %, ComparedMax, Duplicates, Results, Selectivity, filtered A, filtered B,t loading, t init, t build, t probe, t comparing, t partition, t total, t deDuplicating, t analyzing, t sorting, t gridCalculate, t sizeCalculate,EmptyCells(%), MaxObj, AveObj, StdObj, repA, repB, max level, gridP robe, tree height A, tree height B,l0 assigned, l1 assigned, l2 assigned, l3 assigned, l4 assigned, l5 assigned, l6 assigned, l7 assigned, l8 assigned, l9 assigned,l0 assigned B, l1 assigned B, l2 assigned B, l3 assigned B, l4 assigned B, l5 assigned B, l6 assigned B, l7 assigned B, l8 assigned B, l9 assigned B,l0 avg, l1 avg, l2 avg, l3 avg, l4 avg, l5 avg, l6 avg, l7 avg, l8 avg, l9 avg,l0 avg B, l1 avg B, l2 avg B, l3 avg B, l4 avg B, l5 avg B, l6 avg B, l7 avg B, l8 avg B, l9 avg B,l0 std, l1 std, l2 std, l3 std, l4 std, l5 std, l6 std, l7 std, l8 std, l9 std, l0 std B, l1 std B, l2 std B, l3 std B, l4 std B, l5 std B, l6 std B, l7 std B, l8 std B, l9 std B
dTOUCH:TD(Case1)-D1,50,4000,4000,../../../data/samplesRandomExpand/4000/sample4.bin,../../../data/samplesRandomExpand/4000/sample6.bin,SGrid,3,100,100,117498,0.734363,3527180,26717,8236,0.051475,0,0,0.001,0,0.104,0.122,0.117,0.017,0.151,0.001,0,0.015,0.007,0.001,17.6471,1723,71.0294,225.581,74,74,1,0.129,5,5,4000,0,0,0,0,0,0,0,0,0,163,110,498,1506,1723,0,0,0,0,0,50.5011,0,0,0,0,0,0,0,0,0,50.5167,50.4928,50.5105,50.4909,50.4957,0,0,0,0,0,0.206541,0,0,0,0,0,0,0,0,0,-nan,0.203205,0.195055,0.201804,0.210491,0,0,0,0,0
reTOUCH:BU(Case4)-D1,50,4000,4000,../../../data/samplesRandomExpand/4000/sample4.bin,../../../data/samplesRandomExpand/4000/sample6.bin,SGrid,3,100,100,118908,0.743175,15877590,26622,8236,0.051475,0,0,0.004,0,0.001,0.127,0,0.007,0.14,0.001,0,0.007,0.009,0,39.5161,2207,64.5161,319.451,249,249,1,0.136,5,0,134,84,290,1308,2184,0,0,0,0,0,96,126,279,1292,2207,0,0,0,0,0,50.5047,50.5188,50.5075,50.4999,50.5002,0,0,0,0,0,50.4845,50.4966,50.5047,50.4991,50.5006,0,0,0,0,0,0.198022,0.203017,0.206611,0.205711,0.207624,0,0,0,0,0,0.200771,0.200334,0.203487,0.203449,0.205444,0,0,0,0,0
reTOUCH:TD(Case1)-D1,50,4000,4000,../../../data/samplesRandomExpand/4000/sample4.bin,../../../data/samplesRandomExpand/4000/sample6.bin,SGrid,3,100,100,118866,0.742912,7120531,26557,8236,0.051475,0,0,0.004,0,0.002,0.118,0.117,0.008,0.144,0.001,0,0.008,0.011,0,39.5161,2207,64.5161,319.451,249,249,1,0.129,5,0,134,84,290,1308,2184,0,0,0,0,0,96,126,279,1292,2207,0,0,0,0,0,50.5047,50.5188,50.5075,50.4999,50.5002,0,0,0,0,0,50.4845,50.4966,50.5047,50.4991,50.5006,0,0,0,0,0,0.198022,0.203017,0.206611,0.205711,0.207624,0,0,0,0,0,0.200771,0.200334,0.203487,0.203449,0.205444,0,0,0,0,0
cTOUCH:BU(Case4)-D1,50,4000,4000,../../../data/samplesRandomExpand/4000/sample4.bin,../../../data/samplesRandomExpand/4000/sample7.bin,SGrid,3,100,100,116993,0.731206,11507051,26339,8334,0.0520875,0,0,0.002,0,0.003,0.126,0,0.021,0.153,0.003,0,0.02,0.011,0,29.1667,1433,33.3333,142.813,241,241,1,0.137,5,0,415,579,696,877,1433,0,0,0,0,0,482,598,734,790,1396,0,0,0,0,0,50.4973,50.5005,50.5009,50.5026,50.5017,0,0,0,0,0,50.4994,50.5023,50.5043,50.4959,50.4984,0,0,0,0,0,0.200508,0.208638,0.20986,0.203029,0.207899,0,0,0,0,0,0.200213,0.202436,0.203559,0.203835,0.208764,0,0,0,0,0
cTOUCH:TD(Case1)-D1,50,4000,4000,../../../data/samplesRandomExpand/4000/sample4.bin,../../../data/samplesRandomExpand/4000/sample7.bin,SGrid,3,100,100,116993,0.731206,1559949,26339,8334,0.0520875,0,0,0.002,0,0.003,0.112,0.11,0.019,0.147,0.001,0,0.018,0.008,0.001,29.1667,1433,33.3333,142.813,241,241,1,0.12,5,0,415,579,696,877,1433,0,0,0,0,0,482,598,734,790,1396,0,0,0,0,0,50.4973,50.5005,50.5009,50.5026,50.5017,0,0,0,0,0,50.4994,50.5023,50.5043,50.4959,50.4984,0,0,0,0,0,0.200508,0.208638,0.20986,0.203029,0.207899,0,0,0,0,0,0.200213,0.202436,0.203559,0.203835,0.208764,0,0,0,0,0
dTOUCH:BU(Case4)-D1,50,4000,4000,../../../data/samplesRandomExpand/4000/sample4.bin,../../../data/samplesRandomExpand/4000/sample7.bin,SGrid,3,100,100,118344,0.73965,10192750,26754,8334,0.0520875,0,0,0.001,0,0.098,0.126,0,0.015,0.144,0.001,0,0.015,0.007,0,17.6471,1744,70.8333,199.069,74,74,1,0.133,5,5,4000,0,0,0,0,0,0,0,0,0,237,316,765,1744,938,0,0,0,0,0,50.5011,0,0,0,0,0,0,0,0,0,50.5164,50.4853,50.4939,50.5001,50.5005,0,0,0,0,0,0.206541,0,0,0,0,0,0,0,0,0,-nan,0.208497,0.202968,0.205341,0.212727,0,0,0,0,0
dTOUCH:TD(Case1)-D1,50,4000,4000,../../../data/samplesRandomExpand/4000/sample4.bin,../../../data/samplesRandomExpand/4000/sample7.bin,SGrid,3,100,100,118344,0.73965,3066800,26754,8334,0.0520875,0,0,0.004,0,0.106,0.123,0.118,0.018,0.157,0.001,0,0.018,0.007,0.002,17.6471,1744,70.8333,199.069,74,74,1,0.13,5,5,4000,0,0,0,0,0,0,0,0,0,237,316,765,1744,938,0,0,0,0,0,50.5011,0,0,0,0,0,0,0,0,0,50.5164,50.4853,50.4939,50.5001,50.5005,0,0,0,0,0,0.206541,0,0,0,0,0,0,0,0,0,-nan,0.208497,0.202968,0.205341,0.212727,0,0,0,0,0
reTOUCH:BU(Case4)-D1,50,4000,4000,../../../data/samplesRandomExpand/4000/sample4.bin,../../../data/samplesRandomExpand/4000/sample7.bin,SGrid,3,100,100,120846,0.755288,15871675,27214,8334,0.0520875,0,0,0.002,0,0.001,0.131,0,0.007,0.142,0.001,0,0.006,0.009,0,39.5161,2183,64.5161,317.783,249,249,1,0.14,5,0,141,79,289,1308,2183,0,0,0,0,0,93,155,284,1288,2180,0,0,0,0,0,50.5035,50.5175,50.5079,50.4999,50.5003,0,0,0,0,0,50.4829,50.4935,50.4971,50.498,50.5022,0,0,0,0,0,0.198074,0.204302,0.206686,0.205711,0.20759,0,0,0,0,0,0.202665,0.206804,0.206168,0.202646,0.205962,0,0,0,0,0
reTOUCH:TD(Case1)-D1,50,4000,4000,../../../data/samplesRandomExpand/4000/sample4.bin,../../../data/samplesRandomExpand/4000/sample7.bin,SGrid,3,100,100,120926,0.755787,7071722,27280,8334,0.0520875,0,0,0.001,0,0.001,0.114,0.11,0.01,0.136,0.001,0,0.009,0.008,0,39.5161,2183,64.5161,317.783,249,249,1,0.122,5,0,141,79,289,1308,2183,0,0,0,0,0,93,155,284,1288,2180,0,0,0,0,0,50.5035,50.5175,50.5079,50.4999,50.5003,0,0,0,0,0,50.4829,50.4935,50.4971,50.498,50.5022,0,0,0,0,0,0.198074,0.204302,0.206686,0.205711,0.20759,0,0,0,0,0,0.202665,0.206804,0.206168,0.202646,0.205962,0,0,0,0,0
cTOUCH:BU(Case4)-D1,50,4000,4000,../../../data/samplesRandomExpand/4000/sample4.bin,../../../data/samplesRandomExpand/4000/sample8.bin,SGrid,3,100,100,117441,0.734006,11159498,26443,8174,0.0510875,0,0,0.001,0,0.004,0.126,0,0.02,0.152,0.001,0,0.019,0.011,0,28.3333,1382,33.3333,134.941,241,241,1,0.137,5,0,623,837,507,651,1382,0,0,0,0,0,507,799,533,784,1377,0,0,0,0,0,50.5016,50.4988,50.4999,50.5018,50.5025,0,0,0,0,0,50.4935,50.4999,50.4971,50.5038,50.4983,0,0,0,0,0,0.201944,0.208213,0.209963,0.205506,0.206781,0,0,0,0,0,0.209887,0.206991,0.206556,0.202882,0.200915,0,0,0,0,0
