Algorithm, Epsilon, #A, #B, infile A, infile B, LocalJoin Alg, Fanout, Leaf size, gridSize, Compared #, Compared %, ComparedMax, Duplicates, Results, Selectivity, filtered A, filtered B,t loading, t init, t build, t probe, t comparing, t partition, t total, t deDuplicating, t analyzing, t sorting, t gridCalculate, t sizeCalculate,EmptyCells(%), MaxObj, AveObj, StdObj, repA, repB, max level, gridP robe, tree height A, tree height B,l0 assigned, l1 assigned, l2 assigned, l3 assigned, l4 assigned, l5 assigned, l6 assigned, l7 assigned, l8 assigned, l9 assigned,l0 assigned B, l1 assigned B, l2 assigned B, l3 assigned B, l4 assigned B, l5 assigned B, l6 assigned B, l7 assigned B, l8 assigned B, l9 assigned B,l0 avg, l1 avg, l2 avg, l3 avg, l4 avg, l5 avg, l6 avg, l7 avg, l8 avg, l9 avg,l0 avg B, l1 avg B, l2 avg B, l3 avg B, l4 avg B, l5 avg B, l6 avg B, l7 avg B, l8 avg B, l9 avg B,l0 std, l1 std, l2 std, l3 std, l4 std, l5 std, l6 std, l7 std, l8 std, l9 std, l0 std B, l1 std B, l2 std B, l3 std B, l4 std B, l5 std B, l6 std B, l7 std B, l8 std B, l9 std B
reTOUCH,5,2000,2000,./samples/2000/sample3.bin,./samples/2000/sample4.bin,SGrid,3,100,100,54,0.00135,2245678,17,5,0.000125,0,3,0.004,0,0.001,0.004,0.003,0.005,0.021,0,0,0.005,0.007,0,40.3226,1441,64.4677,260.734,125,125,500,0.011,4,0,136,22,433,1409,0,0,0,0,0,0,69,25,462,1441,0,0,0,0,0,0,0.12984,0.112065,0.121199,0.126784,0,0,0,0,0,0,0.123297,0.126104,0.123476,0.123093,0,0,0,0,0,0,0.0897592,0.0776306,0.095095,0.0974081,0,0,0,0,0,0,0.098183,0.116875,0.0909935,0.0988444,0,0,0,0,0,0,
rereTOUCH,5,2000,2000,./samples/2000/sample3.bin,./samples/2000/sample4.bin,SGrid,3,100,100,66,0.00165,2179096,11,5,0.000125,0,3,0.003,0,0.001,0.003,0.002,0.005,0.019,0,0,0.005,0.005,0.001,40.3226,1409,64.4677,256.584,125,125,500,0.008,4,0,136,22,433,1409,0,0,0,0,0,0,113,18,478,1388,0,0,0,0,0,0,0.12984,0.112065,0.121199,0.126784,0,0,0,0,0,0,0.123667,0.121248,0.123923,0.122976,0,0,0,0,0,0,0.0897592,0.0776306,0.095095,0.0974081,0,0,0,0,0,0,0.093777,0.138462,0.0907431,0.0991165,0,0,0,0,0,0,
reTOUCH,5,2000,2000,./samples/2000/sample1.bin,./samples/2000/sample5.bin,SGrid,3,100,100,66,0.00165,1192415,17,5,0.000125,12,5,0.002,0.001,0.001,0.003,0.003,0.004,0.4,0,0,0.004,0.39,0,17.7419,1060,64.2419,183.548,125,125,500,0.393,4,0,444,169,458,917,0,0,0,0,0,0,264,230,441,1060,0,0,0,0,0,0,0.134021,0.12666,0.12456,0.126468,0,0,0,0,0,0,0.123546,0.123677,0.119621,0.12082,0,0,0,0,0,0,0.11006,0.0903525,0.0890732,0.0975231,0,0,0,0,0,0,0.0929816,0.0884531,0.0890273,0.0931748,0,0,0,0,0,0,
rereTOUCH,5,2000,2000,./samples/2000/sample1.bin,./samples/2000/sample5.bin,SGrid,3,100,100,64,0.0016,1063824,12,5,0.000125,12,38,0.003,0,0.002,0.003,0.001,0.004,0.026,0,0,0.004,0.014,0,24.1935,917,63.7097,173.038,125,125,500,0.017,4,0,444,169,458,917,0,0,0,0,0,0,439,139,467,917,0,0,0,0,0,0,0.134021,0.12666,0.12456,0.126468,0,0,0,0,0,0,0.124635,0.12536,0.11815,0.120758,0,0,0,0,0,0,0.11006,0.0903525,0.0890732,0.0975231,0,0,0,0,0,0,0.0924763,0.0906942,0.0881425,0.0936886,0,0,0,0,0,0,
reTOUCH,5,2000,2000,./samples/2000/sample2.bin,./samples/2000/sample5.bin,SGrid,3,100,100,55,0.001375,4000000,4,4,0.0001,0,0,0.003,0,0.001,0.001,0,0.005,0.015,0,0,0.005,0.005,0,48.3871,2000,64.5161,353.369,125,125,500,0.006,4,0,0,0,0,2000,0,0,0,0,0,0,0,0,0,2000,0,0,0,0,0,0,0,0,0,0.121932,0,0,0,0,0,0,0,0,0,0.121258,0,0,0,0,0,0,0,0,0,0.0943521,0,0,0,0,0,0,0,0,0,0.0917701,0,0,0,0,0,0,
rereTOUCH,5,2000,2000,./samples/2000/sample2.bin,./samples/2000/sample5.bin,SGrid,3,100,100,55,0.001375,4000000,4,4,0.0001,0,0,0.002,0,0.001,0.003,0.002,0.004,0.015,0,0,0.004,0.004,0,48.3871,2000,64.5161,353.369,125,125,500,0.007,4,0,0,0,0,2000,0,0,0,0,0,0,0,0,0,2000,0,0,0,0,0,0,0,0,0,0.121932,0,0,0,0,0,0,0,0,0,0.121258,0,0,0,0,0,0,0,0,0,0.0943521,0,0,0,0,0,0,0,0,0,0.0917701,0,0,0,0,0,0,
reTOUCH,5,2000,2000,./samples/2000/sample3.bin,./samples/2000/sample5.bin,SGrid,3,100,100,50,0.00125,2272196,0,0,0,0,1,0.004,0,0.001,0.002,0.001,0.005,0.396,0,0,0.004,0.384,0,38.7097,1448,64.5,262.18,125,125,500,0.386,4,0,81,61,434,1424,0,0,0,0,0,0,83,26,442,1448,0,0,0,0,0,0,0.130105,0.115557,0.120802,0.127266,0,0,0,0,0,0,0.130293,0.113069,0.121096,0.120902,0,0,0,0,0,0,0.0850192,0.077549,0.0949505,0.0978814,0,0,0,0,0,0,0.080061,0.074793,0.089786,0.0932519,0,0,0,0,0,0,
rereTOUCH,5,2000,2000,./samples/2000/sample3.bin,./samples/2000/sample5.bin,SGrid,3,100,100,52,0.0013,2226059,0,0,0,0,1,0.003,0,0.002,0.003,0.003,0.005,0.019,0,0,0.005,0.006,0,41.9355,1424,64.5,259.468,125,125,500,0.009,4,0,81,61,434,1424,0,0,0,0,0,0,81,40,470,1408,0,0,0,0,0,0,0.130105,0.115557,0.120802,0.127266,0,0,0,0,0,0,0.132662,0.123683,0.120171,0.120861,0,0,0,0,0,0,0.0850192,0.077549,0.0949505,0.0978814,0,0,0,0,0,0,0.0801251,0.079361,0.0897547,0.0933563,0,0,0,0,0,0,
reTOUCH,5,2000,2000,./samples/2000/sample4.bin,./samples/2000/sample5.bin,SGrid,3,100,100,43,0.001075,1221336,14,5,0.000125,24,5,0.002,0,0.001,0.003,0.001,0.004,0.765,0,0,0.004,0.754,0.001,19.3548,1024,64.0484,186.445,125,125,500,0.757,4,0,377,117,488,994,0,0,0,0,0,0,306,213,452,1024,0,0,0,0,0,0,0.121564,0.120422,0.124186,0.124319,0,0,0,0,0,0,0.12121,0.130384,0.118204,0.121086,0,0,0,0,0,0,0.093627,0.0784577,0.0965123,0.101212,0,0,0,0,0,0,0.0888163,0.0925572,0.0885098,0.0937865,0,0,0,0,0,0,
rereTOUCH,5,2000,2000,./samples/2000/sample4.bin,./samples/2000/sample5.bin,SGrid,3,100,100,54,0.00135,1192349,14,5,0.000125,24,33,0.002,0,0.002,0.003,0.003,0.004,0.394,0,0,0.004,0.383,0,25.8065,994,63.5968,184.494,125,125,500,0.386,4,0,377,117,488,994,0,0,0,0,0,0,373,116,490,988,0,0,0,0,0,0,0.121564,0.120422,0.124186,0.124319,0,0,0,0,0,0,0.122581,0.131627,0.119067,0.120849,0,0,0,0,0,0,0.093627,0.0784577,0.0965123,0.101212,0,0,0,0,0,0,0.0889412,0.0988253,0.0902349,0.0930532,0,0,0,0,0,0,
