Algorithm, Epsilon, #A, #B, infile A, infile B, LocalJoin Alg, Fanout, Leaf size, gridSize, Compared #, Compared %, ComparedMax, Duplicates, Results, Selectivity, filtered A, filtered B,t loading, t init, t build, t probe, t comparing, t partition, t total, t deDuplicating, t analyzing, t sorting, t gridCalculate, t sizeCalculate,EmptyCells(%), MaxObj, AveObj, StdObj, repA, repB, max level, gridP robe, tree height A, tree height B,l0 assigned, l1 assigned, l2 assigned, l3 assigned, l4 assigned, l5 assigned, l6 assigned, l7 assigned, l8 assigned, l9 assigned,l0 assigned B, l1 assigned B, l2 assigned B, l3 assigned B, l4 assigned B, l5 assigned B, l6 assigned B, l7 assigned B, l8 assigned B, l9 assigned B,l0 avg, l1 avg, l2 avg, l3 avg, l4 avg, l5 avg, l6 avg, l7 avg, l8 avg, l9 avg,l0 avg B, l1 avg B, l2 avg B, l3 avg B, l4 avg B, l5 avg B, l6 avg B, l7 avg B, l8 avg B, l9 avg B,l0 std, l1 std, l2 std, l3 std, l4 std, l5 std, l6 std, l7 std, l8 std, l9 std, l0 std B, l1 std B, l2 std B, l3 std B, l4 std B, l5 std B, l6 std B, l7 std B, l8 std B, l9 std B
reTOUCH,5,2000,2000,./samples/2000/sample4.bin,./samples/2000/sample3.bin,SGrid,3,100,100,63,0.001575,1192706,21,5,0.000125,11,1,0.004,0,0.002,0.004,0.004,0.005,1.128,0,0,0.005,1.113,0,17.7419,1003,64.3226,184.173,125,125,500,1.117,4,0,372,144,470,1003,0,0,0,0,0,0,345,226,432,996,0,0,0,0,0,0,0.119691,0.119687,0.12549,0.124442,0,0,0,0,0,0,0.126319,0.122137,0.122739,0.127448,0,0,0,0,0,0,0.0927202,0.0845757,0.0958936,0.101466,0,0,0,0,0,0,0.088859,0.0973978,0.0984339,0.0974857,0,0,0,0,0,0,
rereTOUCH,5,2000,2000,./samples/2000/sample4.bin,./samples/2000/sample3.bin,SGrid,3,100,100,75,0.001875,1167002,33,5,0.000125,11,22,0.006,0,0.002,0.003,0.002,0.005,0.772,0,0,0.004,0.756,0,22.5806,1003,63.9839,182.645,125,125,500,0.759,4,0,372,144,470,1003,0,0,0,0,0,0,400,149,462,967,0,0,0,0,0,0,0.119691,0.119687,0.12549,0.124442,0,0,0,0,0,0,0.123949,0.116675,0.123799,0.127782,0,0,0,0,0,0,0.0927202,0.0845757,0.0958936,0.101466,0,0,0,0,0,0,0.0902179,0.0862537,0.0992324,0.0984383,0,0,0,0,0,0,
reTOUCH,5,2000,2000,./samples/2000/sample5.bin,./samples/2000/sample1.bin,SGrid,3,100,100,70,0.00175,957905,18,5,0.000125,21,0,0.005,0,0.001,0.003,0.002,0.011,0.032,0,0,0.011,0.01,0,20.9677,775,64.1774,156.35,125,125,500,0.013,4,0,388,136,803,652,0,0,0,0,0,0,400,181,644,775,0,0,0,0,0,0,0.124137,0.11103,0.122147,0.12138,0,0,0,0,0,0,0.130881,0.129585,0.124458,0.127904,0,0,0,0,0,0,0.0902304,0.081737,0.0918026,0.0950309,0,0,0,0,0,0,0.101665,0.105277,0.095873,0.0959621,0,0,0,0,0,0,
rereTOUCH,5,2000,2000,./samples/2000/sample5.bin,./samples/2000/sample1.bin,SGrid,3,100,100,58,0.00145,883016,9,5,0.000125,21,19,0.006,0,0.002,0.003,0.002,0.008,0.029,0,0,0.008,0.008,0.001,25.8065,652,63.871,154.396,125,125,500,0.011,4,0,388,136,803,652,0,0,0,0,0,0,397,169,787,628,0,0,0,0,0,0,0.124137,0.11103,0.122147,0.12138,0,0,0,0,0,0,0.12874,0.128241,0.123114,0.130901,0,0,0,0,0,0,0.0902304,0.081737,0.0918026,0.0950309,0,0,0,0,0,0,0.100546,0.106991,0.0952614,0.0968904,0,0,0,0,0,0,
reTOUCH,5,2000,2000,./samples/2000/sample5.bin,./samples/2000/sample2.bin,SGrid,3,100,100,59,0.001475,942964,18,4,0.0001,11,0,0.007,0,0.001,0.004,0.003,0.005,0.029,0,0,0.004,0.011,0,20.9677,733,64.3387,153.43,125,125,500,0.015,4,0,437,109,798,645,0,0,0,0,0,0,396,199,672,733,0,0,0,0,0,0,0.121839,0.106524,0.123295,0.120978,0,0,0,0,0,0,0.122757,0.118943,0.125272,0.119234,0,0,0,0,0,0,0.0875618,0.0855268,0.0921224,0.0951949,0,0,0,0,0,0,0.0896487,0.0829837,0.0996054,0.0946719,0,0,0,0,0,0,
rereTOUCH,5,2000,2000,./samples/2000/sample5.bin,./samples/2000/sample2.bin,SGrid,3,100,100,57,0.001425,865263,12,4,0.0001,11,13,0.002,0,0.002,0.004,0.004,0.004,0.025,0,0,0.004,0.012,0,24.1935,645,64.129,152.358,125,125,500,0.016,4,0,437,109,798,645,0,0,0,0,0,0,452,130,815,590,0,0,0,0,0,0,0.121839,0.106524,0.123295,0.120978,0,0,0,0,0,0,0.11909,0.132132,0.124756,0.118289,0,0,0,0,0,0,0.0875618,0.0855268,0.0921224,0.0951949,0,0,0,0,0,0,0.0884077,0.0882894,0.0971539,0.0961172,0,0,0,0,0,0,
reTOUCH,5,2000,2000,./samples/2000/sample5.bin,./samples/2000/sample3.bin,SGrid,3,100,100,50,0.00125,978348,0,0,0,6,3,0.003,0,0.002,0.003,0.001,0.006,0.027,0,0,0.006,0.013,0,20.9677,776,64.371,156.913,125,125,500,0.016,4,0,389,159,800,646,0,0,0,0,0,0,398,169,654,776,0,0,0,0,0,0,0.122654,0.110895,0.122832,0.121349,0,0,0,0,0,0,0.127468,0.118533,0.123742,0.127654,0,0,0,0,0,0,0.0887074,0.0810731,0.0923205,0.0952174,0,0,0,0,0,0,0.0938205,0.0940128,0.0964839,0.0975758,0,0,0,0,0,0,
rereTOUCH,5,2000,2000,./samples/2000/sample5.bin,./samples/2000/sample3.bin,SGrid,3,100,100,50,0.00125,898883,0,0,0,6,12,0.007,0,0.001,0.003,0.001,0.005,0.405,0,0,0.004,0.389,0,24.1935,661,64.2258,155.422,125,125,500,0.392,4,0,389,159,800,646,0,0,0,0,0,0,395,155,825,613,0,0,0,0,0,0,0.122654,0.110895,0.122832,0.121349,0,0,0,0,0,0,0.126764,0.119526,0.127769,0.123036,0,0,0,0,0,0,0.0887074,0.0810731,0.0923205,0.0952174,0,0,0,0,0,0,0.0954498,0.0906255,0.0989762,0.0942265,0,0,0,0,0,0,
reTOUCH,5,2000,2000,./samples/2000/sample5.bin,./samples/2000/sample4.bin,SGrid,3,100,100,62,0.00155,958681,19,5,0.000125,14,2,0.007,0,0.001,0.003,0.003,0.007,0.769,0,0,0.006,0.75,0,19.3548,765,64.2581,155.878,125,125,500,0.753,4,0,389,140,806,651,0,0,0,0,0,0,391,199,643,765,0,0,0,0,0,0,0.121479,0.108889,0.122883,0.121621,0,0,0,0,0,0,0.123285,0.116359,0.124779,0.123685,0,0,0,0,0,0,0.0893141,0.0827551,0.0920233,0.0950427,0,0,0,0,0,0,0.0991675,0.0894896,0.0954992,0.0997396,0,0,0,0,0,0,
rereTOUCH,5,2000,2000,./samples/2000/sample5.bin,./samples/2000/sample4.bin,SGrid,3,100,100,55,0.001375,886988,18,5,0.000125,14,21,0.006,0,0.003,0.003,0.002,0.005,0.409,0,0,0.005,0.391,0,24.1935,651,63.9516,154.512,125,125,500,0.394,4,0,389,140,806,651,0,0,0,0,0,0,408,154,792,625,0,0,0,0,0,0,0.121479,0.108889,0.122883,0.121621,0,0,0,0,0,0,0.123164,0.115296,0.126397,0.122418,0,0,0,0,0,0,0.0893141,0.0827551,0.0920233,0.0950427,0,0,0,0,0,0,0.0976036,0.089377,0.097604,0.0987644,0,0,0,0,0,0,
