Algorithm, Epsilon, #A, #B, infile A, infile B, LocalJoin Alg, Fanout, Leaf size, gridSize, Compared #, Compared %, ComparedMax, Duplicates, Results, Selectivity, filtered A, filtered B,t loading, t init, t build, t probe, t comparing, t partition, t total, t deDuplicating, t analyzing, t sorting, t gridCalculate, t sizeCalculate,EmptyCells(%), MaxObj, AveObj, StdObj, repA, repB, max level, gridP robe, tree height A, tree height B,l0 assigned, l1 assigned, l2 assigned, l3 assigned, l4 assigned, l5 assigned, l6 assigned, l7 assigned, l8 assigned, l9 assigned,l0 assigned B, l1 assigned B, l2 assigned B, l3 assigned B, l4 assigned B, l5 assigned B, l6 assigned B, l7 assigned B, l8 assigned B, l9 assigned B,l0 avg, l1 avg, l2 avg, l3 avg, l4 avg, l5 avg, l6 avg, l7 avg, l8 avg, l9 avg,l0 avg B, l1 avg B, l2 avg B, l3 avg B, l4 avg B, l5 avg B, l6 avg B, l7 avg B, l8 avg B, l9 avg B,l0 std, l1 std, l2 std, l3 std, l4 std, l5 std, l6 std, l7 std, l8 std, l9 std, l0 std B, l1 std B, l2 std B, l3 std B, l4 std B, l5 std B, l6 std B, l7 std B, l8 std B, l9 std B
dTOUCH:BU(Case4),5,5000,5000,../../../data/samplesAxExpDifLenSmall/5000/sample1.bin,../../../data/samplesAxExpDifLenSmall/5000/sample4.bin,SGrid,3,100,10,3242,0.012968,2844534,203,157,0.000628,2120,1913,0.008,0,0.008,0.014,0,0.02,0.044,0,0,0.019,0.004,0.002,17.1875,537,76.3438,109.031,72,72,1,0.018,5,4,5000,0,0,0,0,0,0,0,0,0,1296,590,605,389,0,0,0,0,0,0,7.32286,0,0,0,0,0,0,0,0,0,7.30927,7.94851,7.64763,6.73094,7.32167,0,0,0,0,0,1.83638,0,0,0,0,0,0,0,0,0,1.83446,2.11597,1.87562,1.47143,1.84386,0,0,0,0,0,
reTOUCH:BU(Case4),5,5000,5000,../../../data/samplesAxExpDifLenSmall/5000/sample1.bin,../../../data/samplesAxExpDifLenSmall/5000/sample4.bin,SGrid,3,100,10,10167,0.040668,14181231,263,157,0.000628,185,1913,0.01,0,0.001,0.028,0,0.014,0.053,0,0,0.013,0.003,0,42.7632,2686,51.9868,267.772,305,305,1,0.031,5,0,26,26,1178,899,2686,0,0,0,0,0,574,181,238,822,1272,0,0,0,0,0,7.80357,8.00831,7.37125,6.89838,7.42567,0,0,0,0,0,6.85747,7.883,7.54799,6.86427,7.46361,0,0,0,0,0,2.60164,1.86421,1.80622,1.46058,1.93537,0,0,0,0,0,1.45274,2.08932,1.94748,1.52158,1.92965,0,0,0,0,0,
cTOUCH:BU(Case4),5,5000,5000,../../../data/samplesAxExpDifLenSmall/5000/sample1.bin,../../../data/samplesAxExpDifLenSmall/5000/sample5.bin,SGrid,3,100,10,5344,0.021376,5152017,636,177,0.000708,3183,1988,0.01,0,0.003,0.015,0,0.03,0.058,0,0,0.029,0.004,0,46.0784,2156,15.781,139.541,307,307,1,0.019,6,0,44,0,383,82,911,397,0,0,0,0,504,124,5,57,2156,166,0,0,0,0,7.59478,0,7.36148,7.39688,7.24609,6.79302,0,0,0,0,6.82635,7.05818,8.66207,6.99131,7.34072,6.64381,0,0,0,0,2.01311,0,1.75386,1.84574,1.78087,1.05038,0,0,0,0,1.22797,1.22805,3.07829,1.6109,1.82347,0.894366,0,0,0,0,
dTOUCH:BU(Case4),5,5000,5000,../../../data/samplesAxExpDifLenSmall/5000/sample1.bin,../../../data/samplesAxExpDifLenSmall/5000/sample5.bin,SGrid,3,100,10,4181,0.016724,6001500,126,177,0.000708,2101,1051,0.007,0.001,0.007,0.017,0,0.023,0.049,0,0,0.023,0.006,0.001,18.4783,1378,62.7065,159.854,80,80,1,0.023,5,5,5000,0,0,0,0,0,0,0,0,0,929,0,592,1378,0,0,0,0,0,0,7.32286,0,0,0,0,0,0,0,0,0,7.37778,6.72743,6.64513,7.10321,7.58256,0,0,0,0,0,1.83638,0,0,0,0,0,0,0,0,0,1.84023,1.41698,0.913114,1.90247,2.09708,0,0,0,0,0,
reTOUCH:BU(Case4),5,5000,5000,../../../data/samplesAxExpDifLenSmall/5000/sample1.bin,../../../data/samplesAxExpDifLenSmall/5000/sample5.bin,SGrid,3,100,10,8813,0.035252,18195025,3027,177,0.000708,194,1051,0.006,0,0.001,0.023,0,0.017,0.047,0,0,0.016,0.002,0,44.0789,2686,57.5987,304.975,305,305,1,0.025,5,0,21,23,1182,894,2686,0,0,0,0,0,476,24,641,516,2292,0,0,0,0,0,7.2489,8.91237,7.37077,6.89668,7.42627,0,0,0,0,0,7.19545,6.60488,6.74404,7.07443,7.54553,0,0,0,0,0,1.92209,2.01682,1.80562,1.46369,1.93705,0,0,0,0,0,1.563,1.28099,1.01024,1.71189,1.9809,0,0,0,0,0,
cTOUCH:BU(Case4),5,5000,5000,../../../data/samplesAxExpDifLenSmall/5000/sample1.bin,../../../data/samplesAxExpDifLenSmall/5000/sample6.bin,SGrid,3,100,10,31608,0.126432,15290927,542,141,0.000564,773,1028,0.005,0,0.004,0.073,0,0.033,0.115,0,0,0.032,0.002,0,44.7712,2027,26.7941,170.407,307,307,1,0.075,6,0,24,149,899,769,2027,359,0,0,0,0,60,49,513,938,1797,615,0,0,0,0,7.96232,7.48411,7.3278,7.38378,7.48805,6.73831,0,0,0,0,6.09739,6.33694,7.6696,7.01754,7.03789,7.67334,0,0,0,0,1.86774,1.96505,1.82434,1.88451,1.92155,1.147,0,0,0,0,0.892196,1.21568,1.95574,1.58772,1.66058,2.0506,0,0,0,0,
dTOUCH:BU(Case4),5,5000,5000,../../../data/samplesAxExpDifLenSmall/5000/sample1.bin,../../../data/samplesAxExpDifLenSmall/5000/sample6.bin,SGrid,3,100,10,3680,0.01472,9644340,267,141,0.000564,1438,746,0.007,0,0.011,0.017,0,0.023,0.049,0,0,0.022,0.007,0.001,17.5926,2114,64.5556,211.816,86,86,1,0.024,5,5,5000,0,0,0,0,0,0,0,0,0,600,6,352,2114,490,0,0,0,0,0,7.32286,0,0,0,0,0,0,0,0,0,7.21638,9.91506,7.5797,6.94632,7.35055,0,0,0,0,0,1.83638,0,0,0,0,0,0,0,0,0,1.77743,3.32548,2.02565,1.6078,1.85844,0,0,0,0,0,
reTOUCH:BU(Case4),5,5000,5000,../../../data/samplesAxExpDifLenSmall/5000/sample1.bin,../../../data/samplesAxExpDifLenSmall/5000/sample6.bin,SGrid,3,100,10,30091,0.120364,19802295,28,141,0.000564,240,746,0.006,0,0.001,0.069,0,0.017,0.095,0,0,0.016,0.003,0.001,44.0789,2745,59.3026,328.925,305,305,1,0.072,5,0,6,0,1175,896,2683,0,0,0,0,0,215,1,512,781,2745,0,0,0,0,0,7.20912,0,7.36536,6.89725,7.43042,0,0,0,0,0,6.85939,9.91506,7.63739,7.03598,7.20838,0,0,0,0,0,1.99674,0,1.79805,1.46229,1.93594,0,0,0,0,0,1.43786,3.32548,1.99246,1.65572,1.78784,0,0,0,0,0,
cTOUCH:BU(Case4),5,5000,5000,../../../data/samplesAxExpDifLenSmall/5000/sample1.bin,../../../data/samplesAxExpDifLenSmall/5000/sample7.bin,SGrid,3,100,10,4122,0.016488,5453884,113,52,0.000208,2134,2777,0.007,0,0.003,0.014,0,0.036,0.06,0,0,0.035,0.002,0,46.732,1233,16.6307,110.699,307,307,1,0.016,6,0,8,99,159,1699,476,425,0,0,0,0,4,3,273,251,1212,480,0,0,0,0,7.06806,6.71325,7.00445,7.65537,7.28758,6.93286,0,0,0,0,10.8782,9.57257,6.6133,7.30046,7.44643,7.57065,0,0,0,0,1.14595,0.984932,1.79787,1.99287,1.81427,1.58747,0,0,0,0,3.23246,2.7876,1.10425,1.68732,1.83492,2.00829,0,0,0,0,
dTOUCH:BU(Case4),5,5000,5000,../../../data/samplesAxExpDifLenSmall/5000/sample1.bin,../../../data/samplesAxExpDifLenSmall/5000/sample7.bin,SGrid,3,100,10,1077,0.004308,9396272,62,52,0.000208,1576,1138,0.008,0,0.007,0.009,0,0.023,0.044,0,0,0.022,0.004,0.001,18.3673,2525,66.5306,267.916,82,82,1,0.013,5,5,5000,0,0,0,0,0,0,0,0,0,7,0,885,2525,7,0,0,0,0,0,7.32286,0,0,0,0,0,0,0,0,0,7.39441,10.5687,7.39614,6.57957,7.54172,0,0,0,0,0,1.83638,0,0,0,0,0,0,0,0,0,1.90418,2.75717,1.6804,0.971862,1.87631,0,0,0,0,0,
