Algorithm, Epsilon, #A, #B, infile A, infile B, LocalJoin Alg, Fanout, Leaf size, gridSize, Compared #, Compared %, ComparedMax, Duplicates, Results, Selectivity, filtered A, filtered B,t loading, t init, t build, t probe, t comparing, t partition, t total, t deDuplicating, t analyzing, t sorting, t gridCalculate, t sizeCalculate,EmptyCells(%), MaxObj, AveObj, StdObj, repA, repB, max level, gridP robe, tree height A, tree height B,l0 assigned, l1 assigned, l2 assigned, l3 assigned, l4 assigned, l5 assigned, l6 assigned, l7 assigned, l8 assigned, l9 assigned,l0 assigned B, l1 assigned B, l2 assigned B, l3 assigned B, l4 assigned B, l5 assigned B, l6 assigned B, l7 assigned B, l8 assigned B, l9 assigned B,l0 avg, l1 avg, l2 avg, l3 avg, l4 avg, l5 avg, l6 avg, l7 avg, l8 avg, l9 avg,l0 avg B, l1 avg B, l2 avg B, l3 avg B, l4 avg B, l5 avg B, l6 avg B, l7 avg B, l8 avg B, l9 avg B,l0 std, l1 std, l2 std, l3 std, l4 std, l5 std, l6 std, l7 std, l8 std, l9 std, l0 std B, l1 std B, l2 std B, l3 std B, l4 std B, l5 std B, l6 std B, l7 std B, l8 std B, l9 std B
reTOUCH:BU(Case4)D1,1,10000,10000,../../../data/samplesRandomExpand/10000/sample5.bin,../../../data/samplesRandomExpand/10000/sample9.bin,SGrid,3,100,100,14,0.000014,83100577,0,0,0,17,21,0.003,0,0.004,0.052,0,0.025,0.086,0,0,0.024,0.029,0.001,32.3529,2620,65.2353,320.79,613,613,1,0.081,6,0,403,293,1365,2915,2584,2423,0,0,0,0,457,363,1287,2835,2620,2417,0,0,0,0,1.50516,1.50402,1.49796,1.50025,1.49804,1.49791,0,0,0,0,1.50086,1.49491,1.49812,1.49805,1.49884,1.49571,0,0,0,0,0.199571,0.203502,0.206669,0.203711,0.20399,0.2038,0,0,0,0,0.201912,0.201002,0.203035,0.206083,0.204865,0.205317,0,0,0,0
reTOUCH:TD(Case1)D1,1,10000,10000,../../../data/samplesRandomExpand/10000/sample5.bin,../../../data/samplesRandomExpand/10000/sample9.bin,SGrid,3,100,100,16,0.000016,16597253,0,0,0,17,21,0.005,0,0.004,0.016,0.01,0.023,0.081,0,0,0.022,0.032,0,32.3529,2620,65.2353,320.79,613,613,1,0.048,6,0,403,293,1365,2915,2584,2423,0,0,0,0,457,363,1287,2835,2620,2417,0,0,0,0,1.50516,1.50402,1.49796,1.50025,1.49804,1.49791,0,0,0,0,1.50086,1.49491,1.49812,1.49805,1.49884,1.49571,0,0,0,0,0.199571,0.203502,0.206669,0.203711,0.20399,0.2038,0,0,0,0,0.201912,0.201002,0.203035,0.206083,0.204865,0.205317,0,0,0,0
cTOUCH:BU(Case4)D1,1,10000,10000,../../../data/samplesRandomExpand/10000/sample5.bin,../../../data/samplesRandomExpand/10000/sample10.bin,SGrid,3,100,100,25,0.000025,92499696,7,3,0.000003,11,10,0.005,0,0.008,0.073,0,0.048,0.138,0,0,0.046,0.03,0.003,37.7483,5785,33.0778,330.85,605,605,1,0.103,6,0,701,297,362,1302,1542,5785,0,0,0,0,867,406,490,1320,1915,4992,0,0,0,0,1.49464,1.50836,1.50593,1.49459,1.50041,1.49958,0,0,0,0,1.49974,1.50696,1.50197,1.4968,1.50499,1.50022,0,0,0,0,0.203663,0.202643,0.20508,0.204646,0.204974,0.203701,0,0,0,0,0.205587,0.203727,0.200883,0.20933,0.205342,0.204069,0,0,0,0
cTOUCH:TD(Case1)D1,1,10000,10000,../../../data/samplesRandomExpand/10000/sample5.bin,../../../data/samplesRandomExpand/10000/sample10.bin,SGrid,3,100,100,25,0.000025,18407594,7,3,0.000003,11,10,0.006,0,0.008,0.031,0.02,0.049,0.128,0,0,0.046,0.032,0.001,37.7483,5785,33.0778,330.85,605,605,1,0.063,6,0,701,297,362,1302,1542,5785,0,0,0,0,867,406,490,1320,1915,4992,0,0,0,0,1.49464,1.50836,1.50593,1.49459,1.50041,1.49958,0,0,0,0,1.49974,1.50696,1.50197,1.4968,1.50499,1.50022,0,0,0,0,0.203663,0.202643,0.20508,0.204646,0.204974,0.203701,0,0,0,0,0.205587,0.203727,0.200883,0.20933,0.205342,0.204069,0,0,0,0
dTOUCH:BU(Case4)D1,1,10000,10000,../../../data/samplesRandomExpand/10000/sample5.bin,../../../data/samplesRandomExpand/10000/sample10.bin,SGrid,3,100,100,39,0.000039,71824440,11,3,0.000003,28,24,0.006,0,0.033,0.05,0,0.036,0.096,0,0,0.035,0.027,0.001,16.6667,8696,79.1204,590.144,173,173,1,0.077,6,5,10000,0,0,0,0,0,0,0,0,0,291,178,425,382,8696,0,0,0,0,0,1.49918,0,0,0,0,0,0,0,0,0,1.50203,1.49968,1.49445,1.49902,1.49225,1.51806,0,0,0,0,0.20404,0,0,0,0,0,0,0,0,0,0.203754,0.200912,0.198835,0.207634,0.202754,0.201474,0,0,0,0
dTOUCH:TD(Case1)D1,1,10000,10000,../../../data/samplesRandomExpand/10000/sample5.bin,../../../data/samplesRandomExpand/10000/sample10.bin,SGrid,3,100,100,39,0.000039,6204386,11,3,0.000003,28,24,0.007,0,0.034,0.032,0.02,0.036,0.103,0,0,0.034,0.024,0.001,16.6667,8696,79.1204,590.144,173,173,1,0.056,6,5,10000,0,0,0,0,0,0,0,0,0,291,178,425,382,8696,0,0,0,0,0,1.49918,0,0,0,0,0,0,0,0,0,1.50203,1.49968,1.49445,1.49902,1.49225,1.51806,0,0,0,0,0.20404,0,0,0,0,0,0,0,0,0,0.203754,0.200912,0.198835,0.207634,0.202754,0.201474,0,0,0,0
reTOUCH:BU(Case4)D1,1,10000,10000,../../../data/samplesRandomExpand/10000/sample5.bin,../../../data/samplesRandomExpand/10000/sample10.bin,SGrid,3,100,100,34,0.000034,82691877,11,3,0.000003,21,24,0.01,0,0.004,0.051,0,0.025,0.091,0,0,0.024,0.032,0,33.6601,2666,65.2124,318.903,613,613,1,0.083,6,0,492,234,1346,2912,2570,2425,0,0,0,0,461,380,1339,2835,2666,2295,0,0,0,0,1.5031,1.50887,1.4982,1.50042,1.49789,1.49797,0,0,0,0,1.50311,1.50343,1.49839,1.49905,1.4991,1.50603,0,0,0,0,0.200353,0.201498,0.206985,0.203433,0.204241,0.203908,0,0,0,0,0.208734,0.203579,0.201626,0.2075,0.204926,0.20309,0,0,0,0
reTOUCH:TD(Case1)D1,1,10000,10000,../../../data/samplesRandomExpand/10000/sample5.bin,../../../data/samplesRandomExpand/10000/sample10.bin,SGrid,3,100,100,36,0.000036,16410865,11,3,0.000003,21,24,0.008,0,0.003,0.018,0.009,0.026,0.088,0,0,0.026,0.032,0.001,33.6601,2666,65.2124,318.903,613,613,1,0.05,6,0,492,234,1346,2912,2570,2425,0,0,0,0,461,380,1339,2835,2666,2295,0,0,0,0,1.5031,1.50887,1.4982,1.50042,1.49789,1.49797,0,0,0,0,1.50311,1.50343,1.49839,1.49905,1.4991,1.50603,0,0,0,0,0.200353,0.201498,0.206985,0.203433,0.204241,0.203908,0,0,0,0,0.208734,0.203579,0.201626,0.2075,0.204926,0.20309,0,0,0,0
reTOUCH:TD(Case1),1,2000,2000,../../../data/samplesRandomExpand/2000/sample1.bin,../../../data/samplesRandomExpand/2000/sample6.bin,SGrid,3,100,100,2,0.00005,3478217,0,0,0,31,18,0.002,0,0.002,0.009,0,0.013,0.027,0,0,0.013,0.006,0,20.1613,830,31.8629,118.859,125,125,1,0.015,5,0,407,117,107,557,781,0,0,0,0,0,375,114,173,490,830,0,0,0,0,0,1.49269,1.51583,1.5073,1.48784,1.49924,0,0,0,0,0,1.49263,1.51428,1.50143,1.49907,1.49876,0,0,0,0,0,0.201926,0.215351,0.208722,0.197929,0.207172,0,0,0,0,0,0.201239,0.204358,0.20594,0.204855,0.200561,0,0,0,0,0
cTOUCH:BU(Case4),1,2000,2000,../../../data/samplesRandomExpand/2000/sample1.bin,../../../data/samplesRandomExpand/2000/sample6.bin,SGrid,3,100,100,2,0.00005,704125,0,0,0,31,18,0.002,0,0.002,0.003,0.001,0.016,0.03,0,0,0.016,0.006,0,20.1613,830,31.8629,118.859,125,125,1,0.009,5,0,407,117,107,557,781,0,0,0,0,0,375,114,173,490,830,0,0,0,0,0,1.49269,1.51583,1.5073,1.48784,1.49924,0,0,0,0,0,1.49263,1.51428,1.50143,1.49907,1.49876,0,0,0,0,0,0.201926,0.215351,0.208722,0.197929,0.207172,0,0,0,0,0,0.201239,0.204358,0.20594,0.204855,0.200561,0,0,0,0,0
