Algorithm, Epsilon, #A, #B, infile A, infile B, LocalJoin Alg, Fanout, Leaf size, gridSize, Compared #, Compared %, ComparedMax, Duplicates, Results, Selectivity, filtered A, filtered B,t loading, t init, t build, t probe, t comparing, t partition, t total, t deDuplicating, t analyzing, t sorting, t gridCalculate, t sizeCalculate,EmptyCells(%), MaxObj, AveObj, StdObj, repA, repB, max level, gridP robe, tree height A, tree height B,l0 assigned, l1 assigned, l2 assigned, l3 assigned, l4 assigned, l5 assigned, l6 assigned, l7 assigned, l8 assigned, l9 assigned,l0 assigned B, l1 assigned B, l2 assigned B, l3 assigned B, l4 assigned B, l5 assigned B, l6 assigned B, l7 assigned B, l8 assigned B, l9 assigned B,l0 avg, l1 avg, l2 avg, l3 avg, l4 avg, l5 avg, l6 avg, l7 avg, l8 avg, l9 avg,l0 avg B, l1 avg B, l2 avg B, l3 avg B, l4 avg B, l5 avg B, l6 avg B, l7 avg B, l8 avg B, l9 avg B,l0 std, l1 std, l2 std, l3 std, l4 std, l5 std, l6 std, l7 std, l8 std, l9 std, l0 std B, l1 std B, l2 std B, l3 std B, l4 std B, l5 std B, l6 std B, l7 std B, l8 std B, l9 std B
cTOUCH,5,2000,2000,../../../data/samplesRandomExpand/2000/sample1.bin,../../../data/samplesRandomExpand/2000/sample2.bin,SGrid,3,100,100,100,0.0025,76370,1,2,5e-05,11,20,0.001,0,0.002,0.002,0.001,0.007,0.015,0,0,0.006,0.002,0.001,18.5484,507,32.0081,72.0314,125,125,1,0.004,5,0,556,346,196,592,299,0,0,0,0,0,651,275,258,530,266,0,0,0,0,0,166.008,167.352,166.012,165.48,165.123,0,0,0,0,0,166.741,165.802,167.176,166.242,166.032,0,0,0,0,0,10.0548,10.8575,10.6668,10.6752,10.0928,0,0,0,0,0,10.9026,10.2568,10.5994,10.5441,10.8101,0,0,0,0,0,
dTOUCH,5,2000,2000,../../../data/samplesRandomExpand/2000/sample1.bin,../../../data/samplesRandomExpand/2000/sample2.bin,SGrid,3,100,100,125,0.003125,1008817,3,2,5e-05,61,6,0,0,0.004,0.005,0.002,0.005,0.013,0,0.001,0.004,0.001,0,19.0476,934,77.0476,156.24,67,67,1,0.006,4,4,2000,0,0,0,0,0,0,0,0,0,281,256,468,934,0,0,0,0,0,0,165.952,0,0,0,0,0,0,0,0,0,166.712,166.588,166.823,166.871,0,0,0,0,0,0,10.4727,0,0,0,0,0,0,0,0,0,8.45287,10.3555,10.8317,10.0974,0,0,0,0,0,0,
reTOUCH,5,2000,2000,../../../data/samplesRandomExpand/2000/sample1.bin,../../../data/samplesRandomExpand/2000/sample2.bin,SGrid,3,100,100,93,0.002325,1124943,2,2,5e-05,13,6,0.001,0,0.001,0.002,0.001,0.003,0.01,0,0,0.003,0.003,0,22.5806,967,64.2097,178.057,125,125,1,0.005,4,0,254,287,479,967,0,0,0,0,0,0,249,284,501,960,0,0,0,0,0,0,165.745,166.613,165.924,165.804,0,0,0,0,0,0,165.335,166.872,166.474,166.63,0,0,0,0,0,0,10.3244,10.5788,10.3034,10.5758,0,0,0,0,0,0,10.7572,10.1833,10.7126,10.701,0,0,0,0,0,0,
rereTOUCH,5,2000,2000,../../../data/samplesRandomExpand/2000/sample1.bin,../../../data/samplesRandomExpand/2000/sample2.bin,SGrid,3,100,100,105,0.002625,12571,2,2,5e-05,13,21,0.001,0,0.001,0.002,0.001,0.003,0.009,0,0,0.003,0.002,0,29.0323,967,63.9677,177.376,125,125,1,0.004,4,0,254,287,479,967,0,0,0,0,0,0,213,318,498,950,0,0,0,0,0,0,165.745,166.613,165.924,165.804,0,0,0,0,0,0,164.957,166.563,166.727,166.604,0,0,0,0,0,0,10.3244,10.5788,10.3034,10.5758,0,0,0,0,0,0,10.8798,10.0585,10.6899,10.7707,0,0,0,0,0,0,
SGrid,5,2000,2000,../../../data/samplesRandomExpand/2000/sample1.bin,../../../data/samplesRandomExpand/2000/sample3.bin,NL,0,0,1000000,59,0.001475,0,11,5,0.000125,0,0,0.002,0,0.001,0.001,0,0,0.014,0,0,0,0,0,0,0,0,0,1,1,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
TOUCH,5,2000,2000,../../../data/samplesRandomExpand/2000/sample1.bin,../../../data/samplesRandomExpand/2000/sample3.bin,SGrid,3,100,100,64,0.0016,2464800,11,5,0.000125,0,3,0.001,0,0,0.003,0.002,0.003,0.008,0,0,0.003,0.001,0.001,20.9677,957,64.4677,129.58,28,28,1,0.004,4,0,2000,0,0,0,0,0,0,0,0,0,267,286,487,957,0,0,0,0,0,0,165.952,0,0,0,0,0,0,0,0,0,165.747,167.152,165.986,166.372,0,0,0,0,0,0,10.4727,0,0,0,0,0,0,0,0,0,11.1349,11.3893,10.4956,10.8033,0,0,0,0,0,0,
PBSM,5,2000,2000,../../../data/samplesRandomExpand/2000/sample1.bin,../../../data/samplesRandomExpand/2000/sample3.bin,NL,0,0,1000000,351,0.008775,0,31,5,0.000125,0,0,0.001,0,0.005,0.036,0,0,0.042,0,0,0,0,0,0,0,0,0,1,1,0,0.036,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
cTOUCH,5,2000,2000,../../../data/samplesRandomExpand/2000/sample1.bin,../../../data/samplesRandomExpand/2000/sample3.bin,SGrid,3,100,100,132,0.0033,133038,6,5,0.000125,3,10,0.001,0,0.002,0.002,0.002,0.007,0.015,0,0,0.007,0.003,0,24.1935,645,32.1532,81.8498,125,125,1,0.005,5,0,543,259,207,692,296,0,0,0,0,0,592,347,245,523,283,0,0,0,0,0,166.114,167.258,165.714,165.755,165.22,0,0,0,0,0,166.755,166.805,166.114,166.346,164.864,0,0,0,0,0,10.0447,10.5876,11.1507,10.6426,10.158,0,0,0,0,0,10.9973,11.4031,10.8669,10.5759,10.5043,0,0,0,0,0,
dTOUCH,5,2000,2000,../../../data/samplesRandomExpand/2000/sample1.bin,../../../data/samplesRandomExpand/2000/sample3.bin,SGrid,3,100,100,144,0.0036,836237,7,5,0.000125,52,3,0.001,0,0.003,0.005,0.003,0.005,0.013,0,0,0.005,0.002,0,18.1818,913,74.1136,142.3,69,69,1,0.007,4,4,2000,0,0,0,0,0,0,0,0,0,429,297,309,913,0,0,0,0,0,0,165.952,0,0,0,0,0,0,0,0,0,166.464,166.733,166.597,166.26,0,0,0,0,0,0,10.4727,0,0,0,0,0,0,0,0,0,8.49098,11.553,10.5623,11.7236,0,0,0,0,0,0,
reTOUCH,5,2000,2000,../../../data/samplesRandomExpand/2000/sample1.bin,../../../data/samplesRandomExpand/2000/sample3.bin,SGrid,3,100,100,110,0.00275,1114892,2,5,0.000125,9,3,0.001,0,0.001,0.002,0,0.003,0.009,0,0,0.003,0.002,0,20.9677,966,64.3226,177.047,125,125,1,0.004,4,0,294,253,478,966,0,0,0,0,0,0,267,286,487,957,0,0,0,0,0,0,165.566,166.715,166.038,165.815,0,0,0,0,0,0,165.747,167.152,165.986,166.372,0,0,0,0,0,0,10.1507,10.5647,10.4095,10.5754,0,0,0,0,0,0,11.1349,11.3893,10.4956,10.8033,0,0,0,0,0,0,
rereTOUCH,5,2000,2000,../../../data/samplesRandomExpand/2000/sample1.bin,../../../data/samplesRandomExpand/2000/sample3.bin,SGrid,3,100,100,98,0.00245,0,5,5,0.000125,9,10,0.001,0,0.001,0.002,0.002,0.003,0.01,0,0,0.003,0.002,0.001,27.4194,966,64.2097,175.348,125,125,1,0.004,4,0,294,253,478,966,0,0,0,0,0,0,284,280,485,941,0,0,0,0,0,0,165.566,166.715,166.038,165.815,0,0,0,0,0,0,165.99,166.942,165.899,166.382,0,0,0,0,0,0,10.1507,10.5647,10.4095,10.5754,0,0,0,0,0,0,11.0386,11.4207,10.4171,10.8345,0,0,0,0,0,0,
SGrid,5,2000,2000,../../../data/samplesRandomExpand/2000/sample1.bin,../../../data/samplesRandomExpand/2000/sample4.bin,NL,0,0,1000000,57,0.001425,0,2,2,5e-05,0,0,0.026,0,0.002,0,0,0,0.058,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
TOUCH,5,2000,2000,../../../data/samplesRandomExpand/2000/sample1.bin,../../../data/samplesRandomExpand/2000/sample4.bin,SGrid,3,100,100,60,0.0015,2465300,4,2,5e-05,0,6,0.001,0,0.001,0.003,0.002,0.003,0.008,0,0,0.003,0.001,0,22.5806,955,64.4194,129.207,28,28,1,0.004,4,0,2000,0,0,0,0,0,0,0,0,0,264,281,494,955,0,0,0,0,0,0,165.952,0,0,0,0,0,0,0,0,0,166.763,166.949,166.251,166.16,0,0,0,0,0,0,10.4727,0,0,0,0,0,0,0,0,0,11.192,11.1013,10.9383,10.5069,0,0,0,0,0,0,
PBSM,5,2000,2000,../../../data/samplesRandomExpand/2000/sample1.bin,../../../data/samplesRandomExpand/2000/sample4.bin,NL,0,0,1000000,296,0.0074,0,10,2,5e-05,0,0,0.001,0,0.005,0.037,0,0,0.043,0,0,0,0,0,0,0,0,0,1,1,0,0.037,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
cTOUCH,5,2000,2000,../../../data/samplesRandomExpand/2000/sample1.bin,../../../data/samplesRandomExpand/2000/sample4.bin,SGrid,3,100,100,96,0.0024,87599,0,2,5e-05,16,11,0,0,0.002,0.002,0,0.008,0.016,0,0,0.008,0.002,0.001,17.7419,456,32.0403,63.8793,125,125,1,0.004,5,0,694,335,178,482,295,0,0,0,0,0,664,396,257,399,273,0,0,0,0,0,166.326,167.02,165.172,165.413,165.234,0,0,0,0,0,166.875,166.867,164.633,166.191,166.671,0,0,0,0,0,10.4663,10.0427,10.9191,10.6938,10.1723,0,0,0,0,0,10.5406,10.9536,10.6626,10.9048,10.8461,0,0,0,0,0,
